=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:02: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhNPEpBZZjuPgIxF5YBMjtWAzG-gCzdYBWfgDZ+yRhAAesOHQB0yAdgTCCbVQxqrWWzuqx9dQ3aN3iAulgBQYKDKQBDJ8+oI6a4nbKJKVZeHdNNxY2dy4ad0Ng42DTYPFPaXh5RX9kDwR0oPB0nUy9GnSonMEJLwREZxcaAHcZZjSsUUsbCDrkuSUaZgySex9faH8e7J688B7whB7inpiJprKk2QUuhAAODPBN7M3xzantgzZN+c24tpl5NaOLa1tSCqqnNnaV1JoOXvLyQddwL7ZL7jL6HL7FL7zL4XcDLFI3ACcWyR2SR4yRhyRxSRMT63meDle9TkzERixatjezBJNx430ev18-zp4zphzpxTp8zpcXAdIScCkMlwq38dHwhAi9FC+HG4oKbl4MtKngZlWeRPg1I+ivJ90uHVJ-gE3ze8iNNBN2RNeQNcAaloVeIqg2gtWJOvAJphcLk+AQVJpYsCZTVBM1KwtbnctvAZqDETCZXjUYCkWTVwT0ZVgrjmdTdHcFnMQA
13:40:02: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:40:02: [INFO] Matrix size: 11x7
13:40:03: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:40:03: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:40:03: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:40:03: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:40:03: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:40:03: [INFO] Add COL0 net
13:40:03: [INFO] Add COL1 net
13:40:03: [INFO] Add COL2 net
13:40:03: [INFO] Add COL3 net
13:40:03: [INFO] Add COL4 net
13:40:03: [INFO] Add COL5 net
13:40:03: [INFO] Add COL6 net
13:40:03: [INFO] Add COL7 net
13:40:03: [INFO] Add Net-(D1-A) net
13:40:03: [INFO] Add Net-(D10-A) net
13:40:03: [INFO] Add Net-(D11-A) net
13:40:03: [INFO] Add Net-(D12-A) net
13:40:03: [INFO] Add Net-(D13-A) net
13:40:03: [INFO] Add Net-(D14-A) net
13:40:03: [INFO] Add Net-(D15-A) net
13:40:03: [INFO] Add Net-(D16-A) net
