=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:14:08: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwBo7gJ6zgRgHQIKwC+K4WSADOChNPOXkSeRVamVq+MxyWQqzUz4c5Yqmb5OZSUyQA2KfIFRM9AmK5IA7Mtpx6Wxm23gAukgBQYFfCwAOHEfABmE+auD4AFhyGSGeABaejsnVx44TzgHJ2QFd2s9BF98f0xgnABODVdKEmQ8yJtsejClanAAY0xwAGIAQ0amzgB3TAQNVLkAHQA7Pr7mQohq+DrKicnwTvkB-t7uTmQtOcGkDgSo+xS0oLUnVJ1N4qwvXbgMuxnJY6THc4zM1NRR1AamxtbMXAOWCtfxpMJtMSGdhid6KJQeVUFoYRA2rZHBozkdLIlvpkHvsNHC0R5iskCNidi8au8Pl8kYZcX8igDakDgRo5HSoplkSQ4TJUKyFP9yR9PiREYgGCy3OioshUKKiU4seCGUzqho7GzihyoagsTzwOr+fTBUKqdgUhosYaRuSVSDUOr8Rj4DKqsbKSLvpy2GRwXosM57mSxoymXbSGRDaRmDpeGRHRAAE7fZioPRaUnodLppzMfi8JDOMxS4pyBjnUoaZARFxIPOoZB1muF25CXwzatnaupRtnfgt+DCUK06us6twxusvvFvSl5wK9acdXVrGN9VTglpwPgOXi2O15QMoX1MNYXNFjeYVmoAIXehPD1IpynljHJNBZ+pzAc56ZoIBrA-sqoYaMwXiKGB-ZwByZzXqoOBeLESBgSQrjIfWSB6q4NzTl+MyFtCaHgKkhFnNhF7wByc60vhvJIZwcKEayZFOtEWQWgWi50SQWKEeqzHsg+Yo0rwoHnixWC4H4sF7FkJCHiagk-Boz43KYQA
14:14:08: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
14:14:08: [INFO] Matrix size: 11x7
14:14:09: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:14:09: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:14:09: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
14:14:09: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:14:09: [INFO] Add COL0 net
14:14:09: [INFO] Add COL1 net
14:14:09: [INFO] Add COL2 net
14:14:09: [INFO] Add COL3 net
14:14:09: [INFO] Add COL4 net
14:14:09: [INFO] Add COL5 net
14:14:09: [INFO] Add COL6 net
14:14:09: [INFO] Add COL7 net
14:14:09: [INFO] Add Net-(D1-A) net
14:14:09: [INFO] Add Net-(D10-A) net
14:14:09: [INFO] Add Net-(D11-A) net
14:14:09: [INFO] Add Net-(D12-A) net
14:14:09: [INFO] Add Net-(D13-A) net
14:14:09: [INFO] Add Net-(D14-A) net
14:14:09: [INFO] Add Net-(D15-A) net
14:14:09: [INFO] Add Net-(D16-A) net
14:14:09: [INFO] Add Net-(D17-A) net
14:14:09: [INFO] Add Net-(D18-A) net
14:14:09: [INFO] Add Net-(D19-A) net
14:14:09: [INFO] Add Net-(D2-A) net
14:14:09: [INFO] Add Net-(D20-A) net
14:14:09: [INFO] Add Net-(D21-A) net
14:14:09: [INFO] Add Net-(D22-A) net
14:14:09: [INFO] Add Net-(D23-A) net
14:14:09: [INFO] Add Net-(D24-A) net
14:14:09: [INFO] Add Net-(D25-A) net
14:14:09: [INFO] Add Net-(D26-A) net
14:14:09: [INFO] Add Net-(D27-A) net
14:14:09: [INFO] Add Net-(D28-A) net
14:14:09: [INFO] Add Net-(D29-A) net
14:14:09: [INFO] Add Net-(D3-A) net
14:14:09: [INFO] Add Net-(D30-A) net
14:14:09: [INFO] Add Net-(D31-A) net
14:14:09: [INFO] Add Net-(D32-A) net
14:14:09: [INFO] Add Net-(D33-A) net
14:14:09: [INFO] Add Net-(D34-A) net
14:14:09: [INFO] Add Net-(D35-A) net
14:14:09: [INFO] Add Net-(D36-A) net
14:14:09: [INFO] Add Net-(D37-A) net
14:14:09: [INFO] Add Net-(D38-A) net
14:14:09: [INFO] Add Net-(D39-A) net
14:14:09: [INFO] Add Net-(D4-A) net
14:14:09: [INFO] Add Net-(D40-A) net
14:14:09: [INFO] Add Net-(D41-A) net
14:14:09: [INFO] Add Net-(D42-A) net
14:14:09: [INFO] Add Net-(D43-A) net
14:14:09: [INFO] Add Net-(D44-A) net
14:14:09: [INFO] Add Net-(D45-A) net
14:14:09: [INFO] Add Net-(D46-A) net
14:14:09: [INFO] Add Net-(D47-A) net
14:14:09: [INFO] Add Net-(D48-A) net
14:14:09: [INFO] Add Net-(D49-A) net
14:14:09: [INFO] Add Net-(D5-A) net
14:14:09: [INFO] Add Net-(D50-A) net
14:14:09: [INFO] Add Net-(D51-A) net
14:14:09: [INFO] Add Net-(D52-A) net
14:14:09: [INFO] Add Net-(D53-A) net
14:14:09: [INFO] Add Net-(D54-A) net
14:14:09: [INFO] Add Net-(D55-A) net
14:14:09: [INFO] Add Net-(D56-A) net
14:14:09: [INFO] Add Net-(D57-A) net
14:14:09: [INFO] Add Net-(D58-A) net
14:14:09: [INFO] Add Net-(D59-A) net
14:14:09: [INFO] Add Net-(D6-A) net
14:14:09: [INFO] Add Net-(D60-A) net
14:14:09: [INFO] Add Net-(D61-A) net
14:14:09: [INFO] Add Net-(D62-A) net
14:14:09: [INFO] Add Net-(D63-A) net
14:14:09: [INFO] Add Net-(D64-A) net
14:14:09: [INFO] Add Net-(D65-A) net
14:14:09: [INFO] Add Net-(D66-A) net
14:14:09: [INFO] Add Net-(D67-A) net
14:14:09: [INFO] Add Net-(D68-A) net
14:14:09: [INFO] Add Net-(D69-A) net
14:14:09: [INFO] Add Net-(D7-A) net
14:14:09: [INFO] Add Net-(D70-A) net
