=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:21: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhNPEpBZZjuPgIxF5YBMjtWAzG-gCzdYBWfgDZ+yfgA5+ATn51CNeg0VY6rYlFgJEAQz362Ady3NsTOlxV0+AXSwAoMOGPw6AOgFnwdAoxJbySgpqBB9lUJY2H0sIvhofIXisUSTxJKkk2ST5KNVw71V1OAgXOHdPbJj-Ml19PRCC63A7RxKtd2QKhGZfDVJtIOCvHvyeovAemImsOO7BNh6UubS5jLmsuZyaEfDq7TR0GlLmN2Yu6Ys-TRq6+uHVWwcnY9Pzjl7i64HBhvf89-G7ym71m4HeiQQ7yWYKwKxhaxhGxhW0+-SQtx0Rnabk6Xj+uy+gSCv1UVUJtTqJKaLWe2LOXh4HzarleDNUV1K7npNEZRT2RKoRy0wlZPJmVzRFIMQpZ3IQjJWzLKovlWDWEAAHlpcB4aJLBtA2Wo2IzLmLqTYgA
13:28:21: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:28:21: [INFO] Matrix size: 4x14
13:28:22: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:22: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:22: [INFO] Add COL0 net
13:28:22: [INFO] Add COL1 net
13:28:22: [INFO] Add COL10 net
13:28:22: [INFO] Add COL11 net
13:28:22: [INFO] Add COL12 net
13:28:22: [INFO] Add COL13 net
13:28:22: [INFO] Add COL14 net
13:28:22: [INFO] Add COL2 net
13:28:22: [INFO] Add COL3 net
13:28:22: [INFO] Add COL4 net
13:28:22: [INFO] Add COL5 net
13:28:22: [INFO] Add COL6 net
13:28:22: [INFO] Add COL7 net
13:28:22: [INFO] Add COL8 net
13:28:22: [INFO] Add COL9 net
13:28:22: [INFO] Add Net-(D1-A) net
13:28:22: [INFO] Add Net-(D10-A) net
13:28:22: [INFO] Add Net-(D11-A) net
13:28:22: [INFO] Add Net-(D12-A) net
13:28:22: [INFO] Add Net-(D13-A) net
13:28:22: [INFO] Add Net-(D14-A) net
13:28:22: [INFO] Add Net-(D15-A) net
13:28:22: [INFO] Add Net-(D16-A) net
13:28:22: [INFO] Add Net-(D17-A) net
13:28:22: [INFO] Add Net-(D18-A) net
13:28:22: [INFO] Add Net-(D19-A) net
13:28:22: [INFO] Add Net-(D2-A) net
13:28:22: [INFO] Add Net-(D20-A) net
13:28:22: [INFO] Add Net-(D21-A) net
13:28:22: [INFO] Add Net-(D22-A) net
13:28:22: [INFO] Add Net-(D23-A) net
13:28:22: [INFO] Add Net-(D24-A) net
13:28:22: [INFO] Add Net-(D25-A) net
13:28:22: [INFO] Add Net-(D26-A) net
13:28:22: [INFO] Add Net-(D27-A) net
13:28:22: [INFO] Add Net-(D28-A) net
13:28:22: [INFO] Add Net-(D29-A) net
13:28:22: [INFO] Add Net-(D3-A) net
13:28:22: [INFO] Add Net-(D30-A) net
13:28:22: [INFO] Add Net-(D31-A) net
13:28:22: [INFO] Add Net-(D32-A) net
13:28:22: [INFO] Add Net-(D33-A) net
13:28:22: [INFO] Add Net-(D34-A) net
13:28:22: [INFO] Add Net-(D35-A) net
13:28:22: [INFO] Add Net-(D36-A) net
13:28:22: [INFO] Add Net-(D37-A) net
13:28:22: [INFO] Add Net-(D38-A) net
13:28:22: [INFO] Add Net-(D39-A) net
13:28:22: [INFO] Add Net-(D4-A) net
13:28:22: [INFO] Add Net-(D40-A) net
13:28:22: [INFO] Add Net-(D41-A) net
13:28:22: [INFO] Add Net-(D42-A) net
13:28:22: [INFO] Add Net-(D43-A) net
13:28:22: [INFO] Add Net-(D44-A) net
13:28:22: [INFO] Add Net-(D45-A) net
13:28:22: [INFO] Add Net-(D46-A) net
13:28:22: [INFO] Add Net-(D47-A) net
13:28:22: [INFO] Add Net-(D48-A) net
13:28:22: [INFO] Add Net-(D49-A) net
13:28:22: [INFO] Add Net-(D5-A) net
13:28:22: [INFO] Add Net-(D50-A) net
13:28:22: [INFO] Add Net-(D51-A) net
13:28:22: [INFO] Add Net-(D52-A) net
13:28:22: [INFO] Add Net-(D53-A) net
13:28:22: [INFO] Add Net-(D54-A) net
13:28:22: [INFO] Add Net-(D55-A) net
13:28:22: [INFO] Add Net-(D56-A) net
13:28:22: [INFO] Add Net-(D57-A) net
13:28:22: [INFO] Add Net-(D58-A) net
13:28:22: [INFO] Add Net-(D59-A) net
13:28:22: [INFO] Add Net-(D6-A) net
13:28:22: [INFO] Add Net-(D60-A) net
13:28:22: [INFO] Add Net-(D61-A) net
13:28:22: [INFO] Add Net-(D62-A) net
13:28:22: [INFO] Add Net-(D63-A) net
13:28:22: [INFO] Add Net-(D64-A) net
13:28:22: [INFO] Add Net-(D65-A) net
13:28:22: [INFO] Add Net-(D66-A) net
13:28:22: [INFO] Add Net-(D67-A) net
