=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:40: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAJQEZqwVRqmQ-A3qAD1AC45EA6AJgFZ5QBjEhAYgEN7WA2ATgGZQAvnSiVU+IqQpQEjUqGb1FSwXWSi8hJt3LghCZAHZMUAByZkZ4ZG5jNknXqw2riGKuxu44puCrVH6Dj62BgAupAAUMD4AJ4+5LQyTPLsXHwqCJQodLzZmdiYuUHe9jSOWepeDMkKSooZoLmVJXDaBv45kEZ0WZZVsiypPPx0AO5MlOXWADoAdnNzUJ4tFDR0A-J19Y65zvmuhR62EnC+ZT0hh4hhkWAALNAL87NZnqC0bw-F1XJsHMOYAAWE0ctEQTzmr2OTGQCHG9g6CAezR+LC2jFBkBRJ205wQtG6SMgfXexNsGz+aRGcJhCUcDz2Kx06xq6IatD2oC+bzByzspz89MudDBNyioE4j2ekLyoAMssl3xOFHaLN+Q3SY1p7UckpRFLZjnl2K05B1dHlhIlZI0FI11NA8LglEFdEljP5d2ZSV+hrdwoQ8uuoHC4pMUqeULo3Fl4e+dv+moQwNIk2j2AhLzyLV8iUdE1dCHD+tZWwaMZNpFxiNAMat4b6+ATVMwTpd5qLM2ls2QfOVCTVaLLjjjfdpeNAcaCtcuoei+dTjlcEeeUf06Eza6ZeebAK1CKXImhki9axpB9UUA9J1zg82w9UyE5y4Oj6OGhvhaQgXMyGDc-wAAnE55QQQC4lIagBwQT8z1ACC4AAWi9cAayyfgANAYCYQMaCsIQig8xORDEFwvMEM4BIawecBNwKD8C2kVEUkTB0U2dTFwW7LIlXiOD2LTIlaO4rFj2db1mNqOp2QzETKwFODdyTUABKFYTI0gakWhdJiDQffFZI0rT+Vw3ROhMTN0HJGp7QaLJuEsgpMOI0i8L06TdRXGVeNISiJyDOj5N4L8ApEjDbhaEiyJHLysx88TdJs1igRBdMuI0+KzjzVS6HDdTV1EhjUwk9zlEcGN0oK+SsrvSk92TVLO3ymVjJOHTar9BAKro8Koki1ya2XZq4t-WKePMDcRPil0J2uMbCqqNslz-QKxNWQbex6ibDIKh05sqlqxMonckpbfcyDNGsYws7s-2s319MnLsnjuzDAJhPNsNIUD8KYKCiPicimGQ8hEBrXIHSyO5Dmhi5qBDW4uU0zBaAdB5YYM6HnL4mtJQdeUHUlDG5UgLGIv5XwOyeh0YwdcNiZjMm+optzTvqhcLsGqBjLbL9l2JuamfnL64BMPw6HAmE6AQkiOse7nzGRqwhaA4GwYl5VKNVMCEKY4jT0GyB4asThFdNqwjDe5UyIlgi8P1y7peBs4diNzAsnNhBck90Askt8niKgicHmNokfdoH2Hn95nA4cf1Q+tH35R9yVo-nWOrrd3LIB9mMffDNPIv+2rbPO9suZz2wnUIw8uhDUIgA
13:28:40: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:28:40: [INFO] Matrix size: 11x11
13:28:41: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:41: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:41: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:28:41: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:41: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:28:41: [INFO] Add COL0 net
13:28:41: [INFO] Add COL1 net
13:28:41: [INFO] Add COL10 net
13:28:41: [INFO] Add COL11 net
13:28:41: [INFO] Add COL2 net
13:28:41: [INFO] Add COL3 net
13:28:41: [INFO] Add COL4 net
13:28:41: [INFO] Add COL5 net
13:28:41: [INFO] Add COL6 net
13:28:41: [INFO] Add COL7 net
13:28:41: [INFO] Add COL8 net
13:28:41: [INFO] Add COL9 net
13:28:41: [INFO] Add Net-(D1-A) net
13:28:41: [INFO] Add Net-(D10-A) net
13:28:41: [INFO] Add Net-(D100-A) net
13:28:41: [INFO] Add Net-(D101-A) net
13:28:41: [INFO] Add Net-(D102-A) net
13:28:41: [INFO] Add Net-(D103-A) net
13:28:41: [INFO] Add Net-(D104-A) net
13:28:41: [INFO] Add Net-(D105-A) net
13:28:41: [INFO] Add Net-(D106-A) net
13:28:41: [INFO] Add Net-(D107-A) net
13:28:41: [INFO] Add Net-(D108-A) net
13:28:41: [INFO] Add Net-(D109-A) net
13:28:41: [INFO] Add Net-(D11-A) net
13:28:41: [INFO] Add Net-(D110-A) net
13:28:41: [INFO] Add Net-(D111-A) net
13:28:41: [INFO] Add Net-(D112-A) net
13:28:41: [INFO] Add Net-(D113-A) net
13:28:41: [INFO] Add Net-(D114-A) net
13:28:41: [INFO] Add Net-(D115-A) net
13:28:41: [INFO] Add Net-(D116-A) net
13:28:41: [INFO] Add Net-(D117-A) net
13:28:41: [INFO] Add Net-(D118-A) net
13:28:41: [INFO] Add Net-(D119-A) net
13:28:41: [INFO] Add Net-(D12-A) net
13:28:41: [INFO] Add Net-(D120-A) net
13:28:41: [INFO] Add Net-(D121-A) net
13:28:41: [INFO] Add Net-(D122-A) net
13:28:41: [INFO] Add Net-(D123-A) net
13:28:41: [INFO] Add Net-(D124-A) net
13:28:41: [INFO] Add Net-(D125-A) net
13:28:41: [INFO] Add Net-(D13-A) net
13:28:41: [INFO] Add Net-(D14-A) net
13:28:41: [INFO] Add Net-(D15-A) net
13:28:41: [INFO] Add Net-(D16-A) net
13:28:41: [INFO] Add Net-(D17-A) net
13:28:41: [INFO] Add Net-(D18-A) net
13:28:41: [INFO] Add Net-(D19-A) net
13:28:41: [INFO] Add Net-(D2-A) net
