=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:29: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBpwHQO3vK5SQASgIzUQuzUMpNclpCtIS8yV0JIAmU-c+7Zm1uoyAZhYF2-QW14AWUT0qSuQjH0izc8hgFYphAN6gAHqABcacADpGagL7CNcsQwBsm4Y9soAupABQwHQHdDaJgmlvSMOK4UirARoVROCnExGGGcKnaKqXiqYQJJoIq5adJhyll2akrxfgFBIcmQNkXaegGm5lYJjWXFkC5N9Ip93aAe3tVGQQDsdaDi4f0YFdELs4krFdQrc5m0FBU73BRzhcP0FSe79HOllxiTlUk6+hPBHaAVXberQ18VP4ejHwtCbYDAATwCAFpTNM3nNPgCvECIUZoWYKhh-C92vR7PNTnd8bdxmhGOi3njNgSSUEcRg8Qd5CSybDcSJHqAsYFyfR7hdDugngE+K82f9VPdxeRAUKJlBwVCYTM8TcBfSGvFQPcEQRAQxlmVMBRsAayEb6MRROaMNgqWaKFBGVRjUwrQ72WlrZR+cR3arfcJ-c6Bg9Pe6dcG0LLjDybRrbF6oFKvdhkyMkTTRfVTawvVE3bE7bnImtDRQUgWEk6vTlK-kPWXYkGvRVm80ubU3mEI9bo20Zooe+XenXBm6ZZyaiZWRg5jmA4sicWrqX7WdV8vZ66E3tt2GVz7I+8G2ut23eaHG1HgdyZh863M0+u0xPnoFQaAUWg0TPVkOJ1+aLmPQHaxqAeLzke9yQb2k5GPYYEMpWmZ0lqJ6btGIrKiOO4Xi+GY3pg8qfoq07Yee6pDhe-5IpQUqMO69EuhGDGCje-ZvFALElkGrFxrxfqiHx3pCe6h7CRwokWnuZQSRujrukWCnCJBwnIKJepjrYwlhExIbcWxb79iBU4zN2UmLgJTYWfW4nDnZIZOjpMlkMJihKUww4eW5S7KdeoFmb5nl6n8NmPjZ97ac0b6dheVlnhF6F+asDmLk5RwuawwkbGF8meeuqntlOv5zhpBFviKwEKqiSpwvGaQMQBpGoZKNl4np14VcEJnYjMfIWcyZEUkl+X+VOqFIVFbFcmSE15cJ0EDXB3JzYVr4BLNGIkTVQ3UW19WyRQKpld4dGiHwjHncxV2Ga0YFcTdCRBhdgaPQwz0uoeL28F9LpOt9DD-S6HkA5atgAyab3qeD6anVpaQA7pb2Do9fboj1t5dgdZAA62b0lMjI2I0TJZA7EZMJCDXmE5B32ZoFtOw2AoUwyuUq49jrB04RWZoR9K784uv0Hm9+xvdsot5QDcxUwVqPLVMMylTD61GJVW2AbVK4RhdTU7S1OEI0dhtlNzXVbaBBvC2N8GIZlUAA4trM2yt2GM6rpLo9V35a4SOvG-7bIfW4bhAA
13:29:29: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:29:29: [INFO] Matrix size: 7x6
13:29:30: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:30: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:30: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:29:30: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:29:30: [INFO] Add COL0 net
13:29:30: [INFO] Add COL1 net
13:29:30: [INFO] Add COL2 net
13:29:30: [INFO] Add COL3 net
13:29:30: [INFO] Add COL4 net
13:29:30: [INFO] Add COL5 net
13:29:30: [INFO] Add COL6 net
13:29:30: [INFO] Add Net-(D1-A) net
13:29:30: [INFO] Add Net-(D10-A) net
13:29:30: [INFO] Add Net-(D11-A) net
13:29:30: [INFO] Add Net-(D12-A) net
13:29:30: [INFO] Add Net-(D13-A) net
13:29:30: [INFO] Add Net-(D14-A) net
13:29:30: [INFO] Add Net-(D15-A) net
13:29:30: [INFO] Add Net-(D16-A) net
13:29:30: [INFO] Add Net-(D17-A) net
13:29:30: [INFO] Add Net-(D18-A) net
13:29:30: [INFO] Add Net-(D19-A) net
13:29:30: [INFO] Add Net-(D2-A) net
13:29:30: [INFO] Add Net-(D20-A) net
13:29:30: [INFO] Add Net-(D21-A) net
13:29:30: [INFO] Add Net-(D22-A) net
13:29:30: [INFO] Add Net-(D23-A) net
13:29:30: [INFO] Add Net-(D24-A) net
13:29:30: [INFO] Add Net-(D25-A) net
13:29:30: [INFO] Add Net-(D26-A) net
13:29:30: [INFO] Add Net-(D27-A) net
13:29:30: [INFO] Add Net-(D28-A) net
13:29:30: [INFO] Add Net-(D29-A) net
13:29:30: [INFO] Add Net-(D3-A) net
13:29:30: [INFO] Add Net-(D30-A) net
13:29:30: [INFO] Add Net-(D31-A) net
13:29:30: [INFO] Add Net-(D32-A) net
13:29:30: [INFO] Add Net-(D33-A) net
13:29:30: [INFO] Add Net-(D34-A) net
13:29:30: [INFO] Add Net-(D35-A) net
13:29:30: [INFO] Add Net-(D36-A) net
13:29:30: [INFO] Add Net-(D37-A) net
13:29:30: [INFO] Add Net-(D38-A) net
13:29:30: [INFO] Add Net-(D39-A) net
13:29:30: [INFO] Add Net-(D4-A) net
13:29:30: [INFO] Add Net-(D40-A) net
13:29:30: [INFO] Add Net-(D41-A) net
13:29:30: [INFO] Add Net-(D42-A) net
13:29:30: [INFO] Add Net-(D43-A) net
13:29:30: [INFO] Add Net-(D44-A) net
13:29:30: [INFO] Add Net-(D45-A) net
13:29:30: [INFO] Add Net-(D46-A) net
