=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:55: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhAB6xwCMOU5Sk9Dm1+ATEXlgMzvj4AsPfAFZ2pcrgB0LIdg4A2QVmTgAulgBQYcAE9xUodWjwkAQzPmmCKoWI1jiBo1ngqFHlTbUq3L1gG+RXwVfZTVNCCMERHMLagB3cgoJGWoWAlE7KMd6S3A0t1SsTwQ0nxK-HjTA8oUwrUjTGJMeBPgk5BSETnTbBods3O6CrqKebrLwbv8R6smsWo162mimlvIWfWc+HrgI5ezoLaxh8G3i064ebemL2e2F8MzGmLW25OcDG13wMjf8BFalHe1AMwwggKSnXABmKe3sB1ecA2HQ+WBEdTE8GQ1F08Ek0niiU2IPmqhUQA
13:29:55: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:29:55: [INFO] Matrix size: 5x7
13:29:55: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:55: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:29:55: [INFO] Add COL0 net
13:29:55: [INFO] Add COL1 net
13:29:55: [INFO] Add COL2 net
13:29:55: [INFO] Add COL3 net
13:29:55: [INFO] Add COL4 net
13:29:55: [INFO] Add COL5 net
13:29:55: [INFO] Add COL6 net
13:29:55: [INFO] Add COL7 net
13:29:55: [INFO] Add Net-(D1-A) net
13:29:55: [INFO] Add Net-(D10-A) net
13:29:55: [INFO] Add Net-(D11-A) net
13:29:55: [INFO] Add Net-(D12-A) net
13:29:55: [INFO] Add Net-(D13-A) net
13:29:55: [INFO] Add Net-(D14-A) net
13:29:55: [INFO] Add Net-(D15-A) net
13:29:55: [INFO] Add Net-(D16-A) net
13:29:55: [INFO] Add Net-(D17-A) net
13:29:55: [INFO] Add Net-(D18-A) net
13:29:55: [INFO] Add Net-(D19-A) net
13:29:55: [INFO] Add Net-(D2-A) net
13:29:55: [INFO] Add Net-(D20-A) net
13:29:55: [INFO] Add Net-(D21-A) net
13:29:55: [INFO] Add Net-(D22-A) net
13:29:55: [INFO] Add Net-(D23-A) net
13:29:55: [INFO] Add Net-(D24-A) net
13:29:55: [INFO] Add Net-(D25-A) net
13:29:55: [INFO] Add Net-(D26-A) net
13:29:55: [INFO] Add Net-(D27-A) net
13:29:55: [INFO] Add Net-(D28-A) net
13:29:55: [INFO] Add Net-(D29-A) net
13:29:55: [INFO] Add Net-(D3-A) net
13:29:55: [INFO] Add Net-(D30-A) net
13:29:55: [INFO] Add Net-(D31-A) net
13:29:55: [INFO] Add Net-(D32-A) net
13:29:55: [INFO] Add Net-(D33-A) net
13:29:55: [INFO] Add Net-(D34-A) net
13:29:55: [INFO] Add Net-(D35-A) net
13:29:55: [INFO] Add Net-(D36-A) net
13:29:55: [INFO] Add Net-(D37-A) net
13:29:55: [INFO] Add Net-(D38-A) net
13:29:55: [INFO] Add Net-(D39-A) net
