=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:59: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsBfANHcAGDDwsJp4BGHVTbPc8AXQwCgwpY4AmVLcATzYFoKADgDs6bnnaE4xNqSQ4quDABZps+EMoSMATnWsyCpTVL0mLEnBRdsfeIKSjx1DCgNWAbNtdDzzCHs4R2duAGM2cABiEVi46XAAdzkfZRwDCPhosJzc8BMMMyJDOFIVVJopYszsKIBDBsaE5KMXZVICBgCS7xRuIMdPdj7sGuzcnPydTw82cra8EX9LNmQR3gEKMSVSfFmyCjbd2i6V+E51geFt7l2qmRL5RVvVfbgtI703p53Cs1ONNZbBsHNdPu5il5Urs-ACQcEweFIvVGg1milPulqsiJpNfkUHlYytDCvcIGMUaj0a18Z0LIDev1NkghusKbiItwABYY34zSFzYE8mkvJZwqxrJmgpA3bDsPYCg6peUneklC5ShFOWXgeVkx7GbjytSK97Kr6mn5Gv7LQE2S7M5xKeUQwlsXrOjCwtVXbVs5GotHcFqlc1Yh7s3FTOWFb7zT2kfUUwN1amhtoqundCXA30IMRIrJRDnR8AIBVupVtcuq7NsDV2R068v6omG7Dlk2Vs3Vi3dq0dm3itj2zUhZtuN4e7jl73dX2hUYBwNp+S98PknFRpQ1uOpGtJ5dU4O8meFLNnRC55n5toqCuA8ipe+1y8N+Hju8YVtyC5KF--GqViHGOWxfuG4AvnuX6JgkL4Xo+kqNtKIgqF++jDvANjDKBMpfmocIAE6rHg2CEVC6yEUE5Q4dgbakR+A66hg-KDjMmGhgxFJxPE3L1v+k7YkWKYJMKHACexarEQ4CAMeRcjlnRAiKYx7ZlhgSzWmKQHKXx5wCZpEbIjxsSifx3D3rCdBAA
13:29:59: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:29:59: [INFO] Matrix size: 4x13
13:30:00: [INFO] Add COL0 net
13:30:00: [INFO] Add COL1 net
13:30:00: [INFO] Add COL10 net
13:30:00: [INFO] Add COL11 net
13:30:00: [INFO] Add COL12 net
13:30:00: [INFO] Add COL13 net
13:30:00: [INFO] Add COL2 net
13:30:00: [INFO] Add COL3 net
13:30:00: [INFO] Add COL4 net
13:30:00: [INFO] Add COL5 net
13:30:00: [INFO] Add COL6 net
13:30:00: [INFO] Add COL7 net
13:30:00: [INFO] Add COL8 net
13:30:00: [INFO] Add COL9 net
13:30:00: [INFO] Add Net-(D1-A) net
13:30:00: [INFO] Add Net-(D10-A) net
13:30:00: [INFO] Add Net-(D11-A) net
13:30:00: [INFO] Add Net-(D12-A) net
13:30:00: [INFO] Add Net-(D13-A) net
13:30:00: [INFO] Add Net-(D14-A) net
13:30:00: [INFO] Add Net-(D15-A) net
13:30:00: [INFO] Add Net-(D16-A) net
13:30:00: [INFO] Add Net-(D17-A) net
13:30:00: [INFO] Add Net-(D18-A) net
13:30:00: [INFO] Add Net-(D19-A) net
13:30:00: [INFO] Add Net-(D2-A) net
13:30:00: [INFO] Add Net-(D20-A) net
13:30:00: [INFO] Add Net-(D21-A) net
13:30:00: [INFO] Add Net-(D22-A) net
13:30:00: [INFO] Add Net-(D23-A) net
13:30:00: [INFO] Add Net-(D24-A) net
13:30:00: [INFO] Add Net-(D25-A) net
13:30:00: [INFO] Add Net-(D26-A) net
13:30:00: [INFO] Add Net-(D27-A) net
13:30:00: [INFO] Add Net-(D28-A) net
13:30:00: [INFO] Add Net-(D29-A) net
13:30:00: [INFO] Add Net-(D3-A) net
13:30:00: [INFO] Add Net-(D30-A) net
13:30:00: [INFO] Add Net-(D31-A) net
13:30:00: [INFO] Add Net-(D32-A) net
13:30:00: [INFO] Add Net-(D33-A) net
13:30:00: [INFO] Add Net-(D34-A) net
13:30:00: [INFO] Add Net-(D35-A) net
13:30:00: [INFO] Add Net-(D36-A) net
13:30:00: [INFO] Add Net-(D37-A) net
13:30:00: [INFO] Add Net-(D38-A) net
13:30:00: [INFO] Add Net-(D39-A) net
13:30:00: [INFO] Add Net-(D4-A) net
13:30:00: [INFO] Add Net-(D40-A) net
13:30:00: [INFO] Add Net-(D41-A) net
13:30:00: [INFO] Add Net-(D42-A) net
13:30:00: [INFO] Add Net-(D43-A) net
13:30:00: [INFO] Add Net-(D44-A) net
13:30:00: [INFO] Add Net-(D45-A) net
13:30:00: [INFO] Add Net-(D46-A) net
13:30:00: [INFO] Add Net-(D47-A) net
13:30:00: [INFO] Add Net-(D48-A) net
13:30:00: [INFO] Add Net-(D49-A) net
13:30:00: [INFO] Add Net-(D5-A) net
13:30:00: [INFO] Add Net-(D50-A) net
13:30:00: [INFO] Add Net-(D51-A) net
13:30:00: [INFO] Add Net-(D52-A) net
13:30:00: [INFO] Add Net-(D53-A) net
13:30:00: [INFO] Add Net-(D54-A) net
13:30:00: [INFO] Add Net-(D55-A) net
13:30:00: [INFO] Add Net-(D56-A) net
13:30:00: [INFO] Add Net-(D57-A) net
13:30:00: [INFO] Add Net-(D58-A) net
13:30:00: [INFO] Add Net-(D59-A) net
13:30:00: [INFO] Add Net-(D6-A) net
13:30:00: [INFO] Add Net-(D60-A) net
13:30:00: [INFO] Add Net-(D61-A) net
13:30:00: [INFO] Add Net-(D62-A) net
13:30:00: [INFO] Add Net-(D63-A) net
13:30:00: [INFO] Add Net-(D64-A) net
13:30:00: [INFO] Add Net-(D65-A) net
13:30:00: [INFO] Add Net-(D66-A) net
13:30:00: [INFO] Add Net-(D67-A) net
13:30:00: [INFO] Add Net-(D68-A) net
13:30:00: [INFO] Add Net-(D69-A) net
13:30:00: [INFO] Add Net-(D7-A) net
13:30:00: [INFO] Add Net-(D70-A) net
13:30:00: [INFO] Add Net-(D8-A) net
13:30:00: [INFO] Add Net-(D9-A) net
13:30:00: [INFO] Add ROW0 net
13:30:00: [INFO] Add ROW1 net
13:30:00: [INFO] Add ROW2 net
13:30:00: [INFO] Add ROW3 net
13:30:00: [INFO] Add ROW4 net
13:30:00: [INFO] Add SW1 footprint
13:30:00: [INFO] Add D1 footprint
13:30:00: [INFO] Add SW2 footprint
13:30:00: [INFO] Add D2 footprint
13:30:00: [INFO] Add SW3 footprint
13:30:00: [INFO] Add D3 footprint
13:30:00: [INFO] Add SW4 footprint
13:30:00: [INFO] Add D4 footprint
13:30:00: [INFO] Add SW5 footprint
13:30:00: [INFO] Add D5 footprint
13:30:00: [INFO] Add SW6 footprint
13:30:00: [INFO] Add D6 footprint
13:30:00: [INFO] Add SW7 footprint
13:30:00: [INFO] Add D7 footprint
