=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:02: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreANAgLrBAGcAXy3Hw3wB0A7AUQGUBhTOCADzwEZTp4lIBg4qXIAmFmQwBmCeQAssjAFYW7PPgB0SkgQwA2RckUAORQE5V4DvE3aRGToXudOizuOcysam1tIBnAFs8cAAnAHtsAH0AU0gXYV1OJRpU6jSM9OoYwgBdDAAoMHAAT3UNfCUA4L5E8G4nBG5XUm4PJukJbgVW5S79fqNe016LXsd+hPH2iF4ERABDJeWJAHc8UQ1ROw7OL1YrcuQd+ocFfKKIMt9K0nX4Tg1jnXBRCks5-kEBOreWhDe7VenVIbx6AL6oIGUKGEJGELGEImUKmSJm4HucEeJz++x8cE0xx4IUWyyWvzO4AuxWuBIqVQQmNELyk728UBJ3x+LIcElZQNZ+3ArPBwshCFZBlIrNhYvhYsRYuREoc-1mJLQ6DuGy2J1Ze0s1jpRIQn1JZLq+vOhRp5VujJ1JzkbIOZq50BezqBzqFztFzpUpGdUoQztlzvlzsVzuV4Bjao5fHNK21DyeToc6KNtmJSc1qDqMbxh1821z8zJ5M9lOpVztDIxXC0LyqjQgmMe2xbvPZHd13fRbq5azwem7IfVScrCzqVUVVWV7abXdIC4T2d15aQ+aM3fchvKK4QC+LG6P4AX51yQA
13:30:02: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:30:02: [INFO] Matrix size: 5x15
13:30:03: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:30:03: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:30:03: [WARNING] No stabilizer footprint for width 2.5u, using 2u as fallback
13:30:03: [INFO] Add COL0 net
13:30:03: [INFO] Add COL1 net
13:30:03: [INFO] Add COL10 net
13:30:03: [INFO] Add COL11 net
13:30:03: [INFO] Add COL12 net
13:30:03: [INFO] Add COL13 net
13:30:03: [INFO] Add COL14 net
13:30:03: [INFO] Add COL15 net
13:30:03: [INFO] Add COL2 net
13:30:03: [INFO] Add COL3 net
13:30:03: [INFO] Add COL4 net
13:30:03: [INFO] Add COL5 net
13:30:03: [INFO] Add COL6 net
13:30:03: [INFO] Add COL7 net
13:30:03: [INFO] Add COL8 net
13:30:03: [INFO] Add COL9 net
13:30:03: [INFO] Add Net-(D1-A) net
13:30:03: [INFO] Add Net-(D10-A) net
13:30:03: [INFO] Add Net-(D11-A) net
13:30:03: [INFO] Add Net-(D12-A) net
13:30:03: [INFO] Add Net-(D13-A) net
13:30:03: [INFO] Add Net-(D14-A) net
13:30:03: [INFO] Add Net-(D15-A) net
13:30:03: [INFO] Add Net-(D16-A) net
13:30:03: [INFO] Add Net-(D17-A) net
13:30:03: [INFO] Add Net-(D18-A) net
13:30:03: [INFO] Add Net-(D19-A) net
13:30:03: [INFO] Add Net-(D2-A) net
13:30:03: [INFO] Add Net-(D20-A) net
