=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:07: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgBwDoCsAaO4DGtMGIBDI48AXw3AAY1LwLqBGOzagJmarQGZmJp5KSVukw544PAHZpMsvTQAWXlFyCR2XBOIlyLNCg7UAbIbSTTCZfzhrdnBrXkMmT9k54Y+q1HcYGnJk7mTpaeKgI+TgCc4AC6aABQYOAAnt7CFGL4WDm5cpgMNAA6AHalpQpobgVoDOVlJZXV4IWs9RVVHIVc7Y2dYdaCGaKahNoE+S3FDR0uNXUzfXNTbYuVy92961bpKHaFlFs0XbVHjjWr9ZXnUz1rxwO7+4rKWRK5ec-+NYE1wTWhGoxCiFBwnZzg5qgjzzJQg2rfKYMX4QN5jbQcADuuFYzwYkl61BuoOBcC88AYQj28PxhNq4IQdKY8SSqNGHxyk1Y0yu-Uw3IWvOa3MuDSaHG5dyFOwiww04nRJAoAAscXZuYd7nM2QqOTh1actRKqkdlpLTTKbFSDZreTcBWdjaKOucdfhxhMVWqKOb7q7wla5diKZF+S8wmi9Vz9MbfuBuf942hAUnSUmwT7ambasLajD03CwwxEQKUeBg3BKdSi4zFgdXqMPdGGKTyXBWEhqJgK5S5ar4Nzu+wQ+plcPKxRIOOALRDavp2v1UFxRLJSMcyZcHlivkQEq4AAuACcAK4AUzsW8FO+aW+dfVv3CO1TbvfU+-gx-Pl8NvOWd4tCgtylHdtQDOcf1tHd-Q-OAvwvIDf2gjgAL9S030yRtxixXBKUkect0LN13g3H9ES3OMt3+PdD1PBDMC3FMtzTK8YNo79EIhTjHwYfMr0LcAr2+YipBkaQcIHa1OMXBp6wjLCMR-Ft0M7JSZNKZcWTXdlSIoa5nw4dYDL0k17maSoQI6F9wKpTCFSbL0BzsfSjXk3VdMwIzXM80y-0Mp9vLbCCTKgl1-OvMKTPva4G3s7DHPbZyArtS05woCsO2EJKFF6DVYuyDzwEqONKkTSoU0qNN1hudZlnWcy83CgT1mE+V3Xi7tcKQfCktpRYt39NExPE3r1JKAb8q0bDetbGz1Ay7r53WAl+vpLSRKjOx0FCh8OHQCLdoodBor5cB0Esw6yQDN8tqQ2ZJsVIgJMSo7fNA1LbM6pzXp2mK3IKj5JmOx1HhDOU0Qcr7KykzB0ByxZtuUHsYbO-RekRsJkay16jHRh4rorIwUf2naMYJrrsdhvNeiMfGICx+d9pQGm6bakjAfS7x1AAE3Y+jwBZwbRmG8xbvxPbahTfbZsGVA7PaxSTL6+o7yRrqeqVsbVfW66O3wig0gieaKaWxRcvpEzmcWAUV1ZXXFoNrqu3LLrGbNhGLapq36n2tWR1u3GPbA9cOahowxdJz2RMhl3-de3iWbA5G3eLRPbeSawGD14246p+Gfd3WPobd72GmOh6o05+BJAjvHrIh6b44u2nmn2-OGhbiXU8WTudcz7Oq+L2729Kc6JdL0fuD9oecbx-N0BWguYQ2jdB64WuPeXtnHomMWDrH+P7zH2JYiAA
13:31:07: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:31:07: [INFO] Matrix size: 5x19
13:31:08: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:08: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:08: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:31:08: [INFO] Add COL0 net
13:31:08: [INFO] Add COL1 net
13:31:08: [INFO] Add COL10 net
13:31:08: [INFO] Add COL11 net
13:31:08: [INFO] Add COL12 net
13:31:08: [INFO] Add COL13 net
13:31:08: [INFO] Add COL14 net
13:31:08: [INFO] Add COL15 net
13:31:08: [INFO] Add COL16 net
13:31:08: [INFO] Add COL17 net
13:31:08: [INFO] Add COL18 net
13:31:08: [INFO] Add COL19 net
13:31:08: [INFO] Add COL2 net
13:31:08: [INFO] Add COL3 net
13:31:08: [INFO] Add COL4 net
13:31:08: [INFO] Add COL5 net
13:31:08: [INFO] Add COL6 net
13:31:08: [INFO] Add COL7 net
13:31:08: [INFO] Add COL8 net
13:31:08: [INFO] Add COL9 net
13:31:08: [INFO] Add Net-(D1-A) net
13:31:08: [INFO] Add Net-(D10-A) net
13:31:08: [INFO] Add Net-(D100-A) net
13:31:08: [INFO] Add Net-(D101-A) net
13:31:08: [INFO] Add Net-(D102-A) net
13:31:08: [INFO] Add Net-(D103-A) net
13:31:08: [INFO] Add Net-(D104-A) net
13:31:08: [INFO] Add Net-(D105-A) net
13:31:08: [INFO] Add Net-(D106-A) net
13:31:08: [INFO] Add Net-(D107-A) net
13:31:08: [INFO] Add Net-(D108-A) net
13:31:08: [INFO] Add Net-(D109-A) net
13:31:08: [INFO] Add Net-(D11-A) net
13:31:08: [INFO] Add Net-(D110-A) net
13:31:08: [INFO] Add Net-(D111-A) net
13:31:08: [INFO] Add Net-(D12-A) net
13:31:08: [INFO] Add Net-(D13-A) net
13:31:08: [INFO] Add Net-(D14-A) net
13:31:08: [INFO] Add Net-(D15-A) net
13:31:08: [INFO] Add Net-(D16-A) net
13:31:08: [INFO] Add Net-(D17-A) net
13:31:08: [INFO] Add Net-(D18-A) net
13:31:08: [INFO] Add Net-(D19-A) net
13:31:08: [INFO] Add Net-(D2-A) net
13:31:08: [INFO] Add Net-(D20-A) net
13:31:08: [INFO] Add Net-(D21-A) net
13:31:08: [INFO] Add Net-(D22-A) net
13:31:08: [INFO] Add Net-(D23-A) net
13:31:08: [INFO] Add Net-(D24-A) net
13:31:08: [INFO] Add Net-(D25-A) net
13:31:08: [INFO] Add Net-(D26-A) net
13:31:08: [INFO] Add Net-(D27-A) net
13:31:08: [INFO] Add Net-(D28-A) net
13:31:08: [INFO] Add Net-(D29-A) net
13:31:08: [INFO] Add Net-(D3-A) net
13:31:08: [INFO] Add Net-(D30-A) net
13:31:08: [INFO] Add Net-(D31-A) net
13:31:08: [INFO] Add Net-(D32-A) net
13:31:08: [INFO] Add Net-(D33-A) net
13:31:08: [INFO] Add Net-(D34-A) net
13:31:08: [INFO] Add Net-(D35-A) net
13:31:08: [INFO] Add Net-(D36-A) net
13:31:08: [INFO] Add Net-(D37-A) net
13:31:08: [INFO] Add Net-(D38-A) net
13:31:08: [INFO] Add Net-(D39-A) net
13:31:08: [INFO] Add Net-(D4-A) net
13:31:08: [INFO] Add Net-(D40-A) net
13:31:08: [INFO] Add Net-(D41-A) net
13:31:08: [INFO] Add Net-(D42-A) net
13:31:08: [INFO] Add Net-(D43-A) net
13:31:08: [INFO] Add Net-(D44-A) net
13:31:08: [INFO] Add Net-(D45-A) net
13:31:08: [INFO] Add Net-(D46-A) net
13:31:08: [INFO] Add Net-(D47-A) net
13:31:08: [INFO] Add Net-(D48-A) net
13:31:08: [INFO] Add Net-(D49-A) net
13:31:08: [INFO] Add Net-(D5-A) net
13:31:08: [INFO] Add Net-(D50-A) net
13:31:08: [INFO] Add Net-(D51-A) net
13:31:08: [INFO] Add Net-(D52-A) net
13:31:08: [INFO] Add Net-(D53-A) net
13:31:08: [INFO] Add Net-(D54-A) net
13:31:08: [INFO] Add Net-(D55-A) net
13:31:08: [INFO] Add Net-(D56-A) net
13:31:08: [INFO] Add Net-(D57-A) net
13:31:08: [INFO] Add Net-(D58-A) net
13:31:08: [INFO] Add Net-(D59-A) net
13:31:08: [INFO] Add Net-(D6-A) net
13:31:08: [INFO] Add Net-(D60-A) net
13:31:08: [INFO] Add Net-(D61-A) net
13:31:08: [INFO] Add Net-(D62-A) net
13:31:08: [INFO] Add Net-(D63-A) net
13:31:08: [INFO] Add Net-(D64-A) net
13:31:08: [INFO] Add Net-(D65-A) net
13:31:08: [INFO] Add Net-(D66-A) net
13:31:08: [INFO] Add Net-(D67-A) net
13:31:08: [INFO] Add Net-(D68-A) net
13:31:08: [INFO] Add Net-(D69-A) net
13:31:08: [INFO] Add Net-(D7-A) net
13:31:08: [INFO] Add Net-(D70-A) net
13:31:08: [INFO] Add Net-(D71-A) net
13:31:08: [INFO] Add Net-(D72-A) net
13:31:08: [INFO] Add Net-(D73-A) net
13:31:08: [INFO] Add Net-(D74-A) net
13:31:08: [INFO] Add Net-(D75-A) net
13:31:08: [INFO] Add Net-(D76-A) net
13:31:08: [INFO] Add Net-(D77-A) net
13:31:08: [INFO] Add Net-(D78-A) net
13:31:08: [INFO] Add Net-(D79-A) net
13:31:08: [INFO] Add Net-(D8-A) net
13:31:08: [INFO] Add Net-(D80-A) net
13:31:08: [INFO] Add Net-(D81-A) net
13:31:08: [INFO] Add Net-(D82-A) net
13:31:08: [INFO] Add Net-(D83-A) net
13:31:08: [INFO] Add Net-(D84-A) net
13:31:08: [INFO] Add Net-(D85-A) net
13:31:08: [INFO] Add Net-(D86-A) net
13:31:08: [INFO] Add Net-(D87-A) net
13:31:08: [INFO] Add Net-(D88-A) net
13:31:08: [INFO] Add Net-(D89-A) net
13:31:08: [INFO] Add Net-(D9-A) net
13:31:08: [INFO] Add Net-(D90-A) net
13:31:08: [INFO] Add Net-(D91-A) net
13:31:08: [INFO] Add Net-(D92-A) net
13:31:08: [INFO] Add Net-(D93-A) net
13:31:08: [INFO] Add Net-(D94-A) net
13:31:08: [INFO] Add Net-(D95-A) net
13:31:08: [INFO] Add Net-(D96-A) net
13:31:08: [INFO] Add Net-(D97-A) net
13:31:08: [INFO] Add Net-(D98-A) net
13:31:08: [INFO] Add Net-(D99-A) net
13:31:08: [INFO] Add ROW0 net
13:31:08: [INFO] Add ROW1 net
13:31:08: [INFO] Add ROW2 net
13:31:08: [INFO] Add ROW3 net
13:31:08: [INFO] Add ROW4 net
13:31:08: [INFO] Add ROW5 net
13:31:08: [INFO] Add SW1 footprint
13:31:08: [INFO] Add D1 footprint
13:31:08: [INFO] Add SW2 footprint
13:31:08: [INFO] Add D2 footprint
13:31:08: [INFO] Add SW3 footprint
