=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:12: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwAYB0BWANHcATWcAXAJwFcBTAXy3AEYEMaAdAOxZaQyXCwgGN9wAYgCGoseCrY6DNq2Yca4ALoYAUGHABPfAFpUaSeA5dqNTt2wKLtBhYjR4qBJmz94QgOxfvE6hwR2UPj61G7YImKivlIYAX4YAMzWZknxACyBDnD6hhxoyRj58QBsBaU8QY7ohmYe1hwAHAVN8QCcmcHVphjtKur2+Mjo1NrwesOuAoK8M7PWePDE5DX0SLLs5hVhQpFRK5zr8rZ9GqNw486Gq9YJm9j0itS3j3ADVc6hU7NzV7E3f9R6KlsLdgeB6BknhhIfdCv8irDyiCMEjwRg6lCMbCWq9wNsIpFrAB3QaGW4NQ7XKG9NQafHfGbRcBpA5yFhmEzYTBrNnMDnWFlMXn8rZTXbCawAC1J1EwQtkItxWScLnAJPgNC62BZcVx9IZTMwuuZiWsmDBLJh4EwVpZCOtcOoLNRmFRLKxDo9LJxEHVcE1BidPUOLM5fDFu0NPWUtPD7mmBsMxVZCru4A8KbkivAyflWbub39KA+k3j4uJ+E1HkD2GTurj4QZ-EMGeNybBGbByatGatyftGftydRGdRyY9GaxDc83i8FfgCGLNfTGApvNDgXx5Zb0ZO04T3yZDUz7LTrRPfLTx7zp7DeIjhOo0oXhnPN8vd+VS+ofsXl2ox4IIctx3vqh6GMeYLnmCx5WueVrHva572seqLnqix4eueU73mWkY-pWKDVq+q6blMs5zhB0ainhhIkTS-S4Y2BoES+pjGIc2Y0AonEFpURYlkxOz4dgfqav+Uj+Ic3KBGJS41GYQG8jJFRyRJtAcAk0l8WBcysXAxTyexhTaaBD7iPp4nLtx6KmbJhHqTQtR2RUX6qviFF1AppHGe0phmAxpydIJW4ieAz6IIYoa8S8+5NlGPKpi8JrvmYyVyjFHQagk36luE25QmusgPNY9CtJSxyxvxZh5UI8U7ol+bJbmmXUBmqW2K5lYsrVgiefOAmqhF9CiQEGoTOFY3+tQkBTRcy4suV66VYxoWPtgw1UY1p6xUJB4-NQ57bZeyXXq12BvudhY0AkO5FXIgoxoxWRpLlWi6Kg1afLRFmiQ5y6AcBnV6l8iaHbEQOKHu1UjB9RlSByV1qjKCMyMKK0aC9b1nOMX29eWlnwxpEPKcDvr-d5SmyHK9njY5mnabtumMvphn0yZpNM+ZezGR4jPJM5nPJI0-PQ8zzZBsdilmhe0tBh1xoZej9b8Sq335WFanWVJpMq1rlPaXrFPGVputkfG8Ws0TNloIb5sa+tyPjdrtlm6phEu-dLBGk9dKg+B1DJlLALYBmwdtmjqbGu1vEq1+IXcxKhMu1TcjmgLJPU6a7vOzUDOk8CcUsX98AeHnHNZ4Xe0EyXRbWYLle+0XAfYMe4fWEdsfWGdysd5H+Zx8F7mJwNAbl6n3vQhnE-MDatN1+XptZzCzd6bXZfGbbpMr9XkbeXz2-C6u2kZGL-sHZJssh7QiO98ZCsZw-ShKEAA
13:31:12: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:31:12: [INFO] Matrix size: 12x9
13:31:13: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:13: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:13: [INFO] Add COL0 net
13:31:13: [INFO] Add COL1 net
13:31:13: [INFO] Add COL2 net
13:31:13: [INFO] Add COL3 net
13:31:13: [INFO] Add COL4 net
13:31:13: [INFO] Add COL5 net
13:31:13: [INFO] Add COL6 net
13:31:13: [INFO] Add COL7 net
13:31:13: [INFO] Add COL8 net
13:31:13: [INFO] Add COL9 net
13:31:13: [INFO] Add Net-(D1-A) net
13:31:13: [INFO] Add Net-(D10-A) net
13:31:13: [INFO] Add Net-(D100-A) net
13:31:13: [INFO] Add Net-(D101-A) net
13:31:13: [INFO] Add Net-(D102-A) net
13:31:13: [INFO] Add Net-(D103-A) net
13:31:13: [INFO] Add Net-(D104-A) net
13:31:13: [INFO] Add Net-(D105-A) net
13:31:13: [INFO] Add Net-(D106-A) net
13:31:13: [INFO] Add Net-(D107-A) net
13:31:13: [INFO] Add Net-(D108-A) net
13:31:13: [INFO] Add Net-(D109-A) net
13:31:13: [INFO] Add Net-(D11-A) net
13:31:13: [INFO] Add Net-(D110-A) net
13:31:13: [INFO] Add Net-(D12-A) net
13:31:13: [INFO] Add Net-(D13-A) net
13:31:13: [INFO] Add Net-(D14-A) net
13:31:13: [INFO] Add Net-(D15-A) net
13:31:13: [INFO] Add Net-(D16-A) net
13:31:13: [INFO] Add Net-(D17-A) net
13:31:13: [INFO] Add Net-(D18-A) net
13:31:13: [INFO] Add Net-(D19-A) net
13:31:13: [INFO] Add Net-(D2-A) net
13:31:13: [INFO] Add Net-(D20-A) net
13:31:13: [INFO] Add Net-(D21-A) net
13:31:13: [INFO] Add Net-(D22-A) net
13:31:13: [INFO] Add Net-(D23-A) net
13:31:13: [INFO] Add Net-(D24-A) net
13:31:13: [INFO] Add Net-(D25-A) net
13:31:13: [INFO] Add Net-(D26-A) net
13:31:13: [INFO] Add Net-(D27-A) net
13:31:13: [INFO] Add Net-(D28-A) net
13:31:13: [INFO] Add Net-(D29-A) net
13:31:13: [INFO] Add Net-(D3-A) net
13:31:13: [INFO] Add Net-(D30-A) net
13:31:13: [INFO] Add Net-(D31-A) net
13:31:13: [INFO] Add Net-(D32-A) net
13:31:13: [INFO] Add Net-(D33-A) net
13:31:13: [INFO] Add Net-(D34-A) net
13:31:13: [INFO] Add Net-(D35-A) net
13:31:13: [INFO] Add Net-(D36-A) net
13:31:13: [INFO] Add Net-(D37-A) net
13:31:13: [INFO] Add Net-(D38-A) net
13:31:13: [INFO] Add Net-(D39-A) net
13:31:13: [INFO] Add Net-(D4-A) net
13:31:13: [INFO] Add Net-(D40-A) net
13:31:13: [INFO] Add Net-(D41-A) net
13:31:13: [INFO] Add Net-(D42-A) net
13:31:13: [INFO] Add Net-(D43-A) net
