=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:21: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgCwBo7gMa1QYgOx-+AL4rgAMSp4KEG84WajTRJ5AjFauQEydlIBmPuQTCkAVjEA2TjUz18BYlyQ5Z6eQyaMWKgBxiAnGLaVWSNh3Nte1DXVyK1y-mwEAdAHZev5MyrYEH29PP3VoeDYSAHdMbhcowODfC3AAXSQAKDAoTGRUWMiAOnEEinVabG0dMqtUKNt6wT4o0RIoyTtKhSddcCiZdqQDLs1qjDLjIdMWizr+i0aFtwrNJzUYzDYS2tEM7IgIxBJurABDC8u+Qrht7lKSbnLRh3G+p-mnpaehO09MAAuACcAK4AUxcTzaqCenTgcgc63eSEG8Ny8FIO0ew1Wr2qyKmaP+8GB4MhFn84A+n0WfA+vzRpyRm2K93JgXSWRyR3y9mwlyuLgEz0ZY3xQtSJGFS2FDPAwuh8okuOwSIlqKVG1QwpGorx2j6wsJSpmUrmfGFNgtFgZCP5ArOhosey5hzyLmQpGSnii-ggNzuD1QyDY3t96gDRTZJGQ3DDIv9WyjQfAyA8IS84Zeqt6LLg3GTHqQQQzPpFqdU8b94Bu8RjSEMVZV9AdjqLpib2Z6ij6IdDpazwcWnaHbhHFaSA-K+25eRIAE8tidNK3rkmUyH4-NY1uI+ui+ngolm44e3mcEWcLv65Zr6O41Ptza7xOS0fUjO3fBeYuMcnlw4q55tsG4WPGSw7lOjSJsUoGHiEDQnsyBSYBe9ZXlBJ5AShsFlBh77fJWmF2JGoF6OBnIHOixyoL+cCYjgoFelOto1km0ajvGrGRhxFYPu+3HsXBXFIbmOH5oW9ZvghzToSJJFxEUjFFo2LFYQ6a7wHWTT4TJglaZJQ7kWpn7UT+mCYrxnrxtCMG3IZE42XurKgfxMm2WxLkHk5XangQeYFlZxY+UOumZsWzn5ipIV2i2GnAViQ7iDFnn2bxTxhWWHm1g5yDGe+LpUTyC4WUp4gJaB-bvnCdmBkWbnhTVqUgd5U5NUyYmpQWylSfGcIVplHSRdpFaqdVfAhsx403lVMn9SGDVlvNz5tRNzp9ZRs7fiVf73AB9oCpp9mVfGqK1blSCLQMkUtfW8HhWdfLdv54ndaB0kPWtg0osNZXRVOj2nNhXV4adv1BflMkyKZxW0aVe3ibdnFTlq51BVdqg3YlFb3WWqNPX5eBHW9RYfXjX3xvjtb-e++NA-FiPY8gyUo1j6VEbT4NkZT6RpEAA
13:31:21: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:31:21: [INFO] Matrix size: 4x14
13:31:21: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:21: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:31:21: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:21: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:31:22: [INFO] Add COL0 net
13:31:22: [INFO] Add COL1 net
13:31:22: [INFO] Add COL10 net
13:31:22: [INFO] Add COL11 net
13:31:22: [INFO] Add COL12 net
13:31:22: [INFO] Add COL13 net
13:31:22: [INFO] Add COL14 net
13:31:22: [INFO] Add COL2 net
13:31:22: [INFO] Add COL3 net
13:31:22: [INFO] Add COL4 net
13:31:22: [INFO] Add COL5 net
13:31:22: [INFO] Add COL6 net
13:31:22: [INFO] Add COL7 net
13:31:22: [INFO] Add COL8 net
13:31:22: [INFO] Add COL9 net
13:31:22: [INFO] Add Net-(D1-A) net
13:31:22: [INFO] Add Net-(D10-A) net
13:31:22: [INFO] Add Net-(D11-A) net
13:31:22: [INFO] Add Net-(D12-A) net
13:31:22: [INFO] Add Net-(D13-A) net
13:31:22: [INFO] Add Net-(D14-A) net
13:31:22: [INFO] Add Net-(D15-A) net
13:31:22: [INFO] Add Net-(D16-A) net
13:31:22: [INFO] Add Net-(D17-A) net
13:31:22: [INFO] Add Net-(D18-A) net
13:31:22: [INFO] Add Net-(D19-A) net
13:31:22: [INFO] Add Net-(D2-A) net
13:31:22: [INFO] Add Net-(D20-A) net
13:31:22: [INFO] Add Net-(D21-A) net
13:31:22: [INFO] Add Net-(D22-A) net
13:31:22: [INFO] Add Net-(D23-A) net
13:31:22: [INFO] Add Net-(D24-A) net
13:31:22: [INFO] Add Net-(D25-A) net
13:31:22: [INFO] Add Net-(D26-A) net
13:31:22: [INFO] Add Net-(D27-A) net
13:31:22: [INFO] Add Net-(D28-A) net
13:31:22: [INFO] Add Net-(D29-A) net
13:31:22: [INFO] Add Net-(D3-A) net
13:31:22: [INFO] Add Net-(D30-A) net
13:31:22: [INFO] Add Net-(D31-A) net
13:31:22: [INFO] Add Net-(D32-A) net
13:31:22: [INFO] Add Net-(D33-A) net
13:31:22: [INFO] Add Net-(D34-A) net
13:31:22: [INFO] Add Net-(D35-A) net
13:31:22: [INFO] Add Net-(D36-A) net
13:31:22: [INFO] Add Net-(D37-A) net
13:31:22: [INFO] Add Net-(D38-A) net
13:31:22: [INFO] Add Net-(D39-A) net
13:31:22: [INFO] Add Net-(D4-A) net
13:31:22: [INFO] Add Net-(D40-A) net
13:31:22: [INFO] Add Net-(D41-A) net
13:31:22: [INFO] Add Net-(D42-A) net
13:31:22: [INFO] Add Net-(D43-A) net
13:31:22: [INFO] Add Net-(D44-A) net
13:31:22: [INFO] Add Net-(D45-A) net
13:31:22: [INFO] Add Net-(D46-A) net
13:31:22: [INFO] Add Net-(D47-A) net
13:31:22: [INFO] Add Net-(D48-A) net
13:31:22: [INFO] Add Net-(D49-A) net
13:31:22: [INFO] Add Net-(D5-A) net
13:31:22: [INFO] Add Net-(D50-A) net
13:31:22: [INFO] Add Net-(D51-A) net
13:31:22: [INFO] Add Net-(D52-A) net
13:31:22: [INFO] Add Net-(D53-A) net
13:31:22: [INFO] Add Net-(D54-A) net
13:31:22: [INFO] Add Net-(D55-A) net
13:31:22: [INFO] Add Net-(D56-A) net
13:31:22: [INFO] Add Net-(D57-A) net
13:31:22: [INFO] Add Net-(D58-A) net
13:31:22: [INFO] Add Net-(D59-A) net
13:31:22: [INFO] Add Net-(D6-A) net
13:31:22: [INFO] Add Net-(D60-A) net
13:31:22: [INFO] Add Net-(D61-A) net
13:31:22: [INFO] Add Net-(D62-A) net
13:31:22: [INFO] Add Net-(D63-A) net
13:31:22: [INFO] Add Net-(D64-A) net
13:31:22: [INFO] Add Net-(D65-A) net
13:31:22: [INFO] Add Net-(D66-A) net
13:31:22: [INFO] Add Net-(D67-A) net
13:31:22: [INFO] Add Net-(D68-A) net
13:31:22: [INFO] Add Net-(D69-A) net
13:31:22: [INFO] Add Net-(D7-A) net
13:31:22: [INFO] Add Net-(D70-A) net
13:31:22: [INFO] Add Net-(D71-A) net
13:31:22: [INFO] Add Net-(D72-A) net
13:31:22: [INFO] Add Net-(D73-A) net
13:31:22: [INFO] Add Net-(D74-A) net
13:31:22: [INFO] Add Net-(D8-A) net
13:31:22: [INFO] Add Net-(D9-A) net
13:31:22: [INFO] Add ROW0 net
13:31:22: [INFO] Add ROW1 net
13:31:22: [INFO] Add ROW2 net
13:31:22: [INFO] Add ROW3 net
13:31:22: [INFO] Add ROW4 net
13:31:22: [INFO] Add SW1 footprint
13:31:22: [INFO] Add D1 footprint
13:31:22: [INFO] Add SW2 footprint
13:31:22: [INFO] Add D2 footprint
13:31:22: [INFO] Add SW3 footprint
13:31:22: [INFO] Add D3 footprint
13:31:22: [INFO] Add SW4 footprint
13:31:22: [INFO] Add D4 footprint
13:31:22: [INFO] Add SW5 footprint
13:31:22: [INFO] Add D5 footprint
13:31:22: [INFO] Add SW6 footprint
13:31:22: [INFO] Add D6 footprint
13:31:22: [INFO] Add SW7 footprint
13:31:22: [INFO] Add D7 footprint
13:31:22: [INFO] Add SW8 footprint
13:31:22: [INFO] Add D8 footprint
13:31:22: [INFO] Add SW9 footprint
13:31:22: [INFO] Add D9 footprint
13:31:22: [INFO] Add SW10 footprint
13:31:22: [INFO] Add D10 footprint
13:31:22: [INFO] Add SW11 footprint
13:31:22: [INFO] Add D11 footprint
13:31:22: [INFO] Add SW12 footprint
13:31:22: [INFO] Add D12 footprint
13:31:22: [INFO] Add SW13 footprint
13:31:22: [INFO] Add D13 footprint
13:31:22: [INFO] Add SW14 footprint
13:31:22: [INFO] Add D14 footprint
13:31:22: [INFO] Add SW15 footprint
13:31:22: [INFO] Add D15 footprint
13:31:23: [INFO] Add SW16 footprint
13:31:23: [INFO] Add D16 footprint
13:31:23: [INFO] Add SW17 footprint
13:31:23: [INFO] Add D17 footprint
13:31:23: [INFO] Add SW18 footprint
13:31:23: [INFO] Add D18 footprint
13:31:23: [INFO] Add SW19 footprint
13:31:23: [INFO] Add D19 footprint
13:31:23: [INFO] Add SW20 footprint
13:31:23: [INFO] Add D20 footprint
13:31:23: [INFO] Add SW21 footprint
13:31:23: [INFO] Add D21 footprint
13:31:23: [INFO] Add SW22 footprint
13:31:23: [INFO] Add D22 footprint
13:31:23: [INFO] Add SW23 footprint
13:31:23: [INFO] Add D23 footprint
13:31:23: [INFO] Add SW24 footprint
13:31:23: [INFO] Add D24 footprint
13:31:23: [INFO] Add SW25 footprint
13:31:23: [INFO] Add D25 footprint
13:31:23: [INFO] Add SW26 footprint
13:31:23: [INFO] Add D26 footprint
13:31:23: [INFO] Add SW27 footprint
13:31:23: [INFO] Add D27 footprint
13:31:23: [INFO] Add SW28 footprint
13:31:23: [INFO] Add D28 footprint
13:31:23: [INFO] Add SW29 footprint
13:31:23: [INFO] Add D29 footprint
13:31:23: [INFO] Add SW30 footprint
13:31:23: [INFO] Add D30 footprint
13:31:23: [INFO] Add SW30a footprint
13:31:23: [INFO] Add ST30a footprint
13:31:23: [INFO] Add SW31 footprint
13:31:23: [INFO] Add D31 footprint
13:31:23: [INFO] Add SW32 footprint
13:31:23: [INFO] Add D32 footprint
13:31:24: [INFO] Add SW33 footprint
13:31:24: [INFO] Add D33 footprint
13:31:24: [INFO] Add SW34 footprint
13:31:24: [INFO] Add D34 footprint
13:31:24: [INFO] Add SW35 footprint
13:31:24: [INFO] Add D35 footprint
13:31:24: [INFO] Add SW36 footprint
13:31:24: [INFO] Add D36 footprint
13:31:24: [INFO] Add SW37 footprint
13:31:24: [INFO] Add D37 footprint
13:31:24: [INFO] Add SW38 footprint
13:31:24: [INFO] Add D38 footprint
13:31:24: [INFO] Add SW38a footprint
13:31:24: [INFO] Add SW39 footprint
13:31:24: [INFO] Add D39 footprint
13:31:24: [INFO] Add SW40 footprint
13:31:24: [INFO] Add D40 footprint
13:31:24: [INFO] Add SW41 footprint
13:31:24: [INFO] Add D41 footprint
13:31:24: [INFO] Add SW42 footprint
13:31:24: [INFO] Add D42 footprint
13:31:24: [INFO] Add SW43 footprint
13:31:24: [INFO] Add D43 footprint
13:31:24: [INFO] Add SW44 footprint
13:31:24: [INFO] Add D44 footprint
13:31:24: [INFO] Add SW45 footprint
13:31:24: [INFO] Add D45 footprint
13:31:24: [INFO] Add SW46 footprint
13:31:24: [INFO] Add D46 footprint
13:31:24: [INFO] Add SW47 footprint
13:31:24: [INFO] Add D47 footprint
13:31:24: [INFO] Add SW48 footprint
