=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:27: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIKQIyzgb1AD1ALjuAOgCYBWeUAY1wQGIB2Bx0AX3KiNQyr1Bov4Es2kAMypEAFnFQS0yADY5dOQA45ATjlIYwpCl0ddY3VPhdqvAIbWb4gO7UirBFCTyAOgDsvXqDpfIymZY1EjEJM6ISCQ+3p6uWh5xvsigALqQAFDA5jx8AvxCCEjQ4iX66CF4hKTk3LQ2tuQOeGER5CWGlfW8BYWRJcbFkKbDsh0KZZBBw2oTmhPaU3rLXaDlQ+vIoxgtcG0DyEmxJf65DY2WRVtIMxjYeEQEUAg99IwM9qHh5AAWjs0OK0CGQEL8gftyJgIQBaGrtBBEI6xLzldJZHKUCz5ArXJH+UBIir3ajwurYy5XZrfOgIwmQLrnXp9PGicRI0b08aIybkJEzelzHkLHlLPnICr0pBrIlDJnvD5fR7hSJE45xU6cLF5Sms25ah77Z7kvJ9Kiq7YozxojLZUAiUrkB3Eqr4H6vCmXJVwJ6kSIOohW-Fat5m64OzkO7n23kIB0Ch1CmMimNiuMS8TOtbOuXai6Nb1hWn+7Yh7EfT4ltxlnVeqvKW2Y0MsyISR0INsuw1kj21gvU4F0tuB5KeB0EtsiK3jrV7A7kNsSaft+VhgdwOityAqZdnPNWL3r+cd5BT0cz4LdkEm2gV5RbpCczuKBeBdHZEnK2oIACepPd+40LqR4qk6DJBqkYFnrERLvpihq+qCoB-tUAFziCW4jrEzriJOy4uuhQ4jPhNa0GuCB7CIW7ql4OGvju56QZUlEPuAJHBG8wEUd8RFINBcQ4Y2n4+mhPGYcuax4YxjKgIRW5LtJpHMri66IdREmzo4W4MdhDKacqxavtoGkcZ6-bcYOD78bRelCa6iHkChbpIehfqvlhAlssErlEdZY5ecx3xuSeCm6bmzYqRZcDyKBJ46Z54VmU0UVhMFoCdh5Nm5j5VnLmIdkIaJwJpcOy47LJQW+WV+lGiVxGMeVEWCKpsXpQo1XeZV2kdYFBm8WxDVKUBh4pa1GU9bsXVGX5EbpGkQA
13:31:27: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:31:27: [INFO] Matrix size: 4x17
13:31:27: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:27: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:27: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:27: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:27: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:31:27: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:31:27: [INFO] Add COL0 net
13:31:27: [INFO] Add COL1 net
13:31:27: [INFO] Add COL10 net
13:31:27: [INFO] Add COL11 net
13:31:27: [INFO] Add COL12 net
13:31:27: [INFO] Add COL13 net
13:31:27: [INFO] Add COL14 net
13:31:27: [INFO] Add COL15 net
13:31:27: [INFO] Add COL16 net
13:31:27: [INFO] Add COL17 net
13:31:27: [INFO] Add COL2 net
13:31:27: [INFO] Add COL3 net
13:31:27: [INFO] Add COL4 net
13:31:27: [INFO] Add COL5 net
13:31:27: [INFO] Add COL6 net
13:31:27: [INFO] Add COL7 net
13:31:27: [INFO] Add COL8 net
13:31:27: [INFO] Add COL9 net
13:31:27: [INFO] Add Net-(D1-A) net
13:31:27: [INFO] Add Net-(D10-A) net
13:31:27: [INFO] Add Net-(D11-A) net
13:31:27: [INFO] Add Net-(D12-A) net
13:31:27: [INFO] Add Net-(D13-A) net
13:31:27: [INFO] Add Net-(D14-A) net
13:31:27: [INFO] Add Net-(D15-A) net
13:31:27: [INFO] Add Net-(D16-A) net
13:31:27: [INFO] Add Net-(D17-A) net
13:31:27: [INFO] Add Net-(D18-A) net
13:31:27: [INFO] Add Net-(D19-A) net
13:31:27: [INFO] Add Net-(D2-A) net
13:31:27: [INFO] Add Net-(D20-A) net
13:31:27: [INFO] Add Net-(D21-A) net
13:31:27: [INFO] Add Net-(D22-A) net
13:31:27: [INFO] Add Net-(D23-A) net
13:31:27: [INFO] Add Net-(D24-A) net
13:31:27: [INFO] Add Net-(D25-A) net
13:31:27: [INFO] Add Net-(D26-A) net
13:31:27: [INFO] Add Net-(D27-A) net
13:31:27: [INFO] Add Net-(D28-A) net
13:31:27: [INFO] Add Net-(D29-A) net
13:31:27: [INFO] Add Net-(D3-A) net
13:31:27: [INFO] Add Net-(D30-A) net
13:31:27: [INFO] Add Net-(D31-A) net
13:31:27: [INFO] Add Net-(D32-A) net
13:31:27: [INFO] Add Net-(D33-A) net
13:31:27: [INFO] Add Net-(D34-A) net
13:31:27: [INFO] Add Net-(D35-A) net
13:31:27: [INFO] Add Net-(D36-A) net
13:31:27: [INFO] Add Net-(D37-A) net
13:31:27: [INFO] Add Net-(D38-A) net
13:31:27: [INFO] Add Net-(D39-A) net
13:31:27: [INFO] Add Net-(D4-A) net
13:31:27: [INFO] Add Net-(D40-A) net
13:31:27: [INFO] Add Net-(D41-A) net
13:31:27: [INFO] Add Net-(D42-A) net
13:31:27: [INFO] Add Net-(D43-A) net
13:31:27: [INFO] Add Net-(D44-A) net
13:31:27: [INFO] Add Net-(D45-A) net
13:31:27: [INFO] Add Net-(D46-A) net
13:31:27: [INFO] Add Net-(D47-A) net
13:31:27: [INFO] Add Net-(D48-A) net
13:31:27: [INFO] Add Net-(D49-A) net
