=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:09: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIKQIyzgb1AD1ALjuAOgCYBWeUAY1wQGIB2Bx0AX3KiNQyr1Bov4Es2kAMypEAFnFQS0yADY5dOQA45ATjlIYwpCl0ddY3VPhdqvAIbWb4gO7UirBFCQkAOgDsvXqDvRY1ISk5Ny0AoLOiEiKusq6amaBeIQkUa4e3lmu4kTImT6eOQC6kABQwBjYeETEZAhhVjbW9tRIBGnkSJCGAY18EVRR3cYI3aZjkLJdCuLd8ZOJk5oz2nPI+pNIvaDdSKO7yBMYDnjtnVsFWd3+VUF1w8ixWwuHSEt3Z3WhFvSMDK0viEEAALRzkOwcL71UAgqFwboITDwgC0wQuoDySAkhS8e1ApQqn3w3wQAE9qGiCHQYf1BlRyABnAC2FgATgB7AAuAH0AKYUPSAhEdchg6FRLG4rLSwp8mCEyrJOC1YGgCl4Klq-rNFpM1k8YXtGmSnqcSi-elCBB5A55CaYqa5WbkPKvPJLR0rG3IfyOoWu5A7LGjcw8P7-YWqjFYnEyzw3c3VOAiUUNS2Da1vK545AE8pgETQcRFzbE9E-cO6yxRh7kItEaV5W4W8NWqJFh1F6YIIvPUBF15Fz1F70D30ljaT7bT0Ot2jV2sm+tHaVFlvJ9ra37-AEd5DKRVh8KZqISYvkc9l5UV9NV3VGjpns2X0Tm04ijHn47z3hWiHUHQz7eseTTNI+X7IAcV4-h+5zPm4Sb3Nu4a7soCH9lerxXmoR7KtG5AaiSKELg+AFAhiDZNnmSR0qeK4iNR16boQUB3qR4HkSKy69qu8aluadERFmpY5p4AnFMUQA
13:32:09: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:32:09: [INFO] Matrix size: 4x18
13:32:09: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:09: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:09: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:32:09: [INFO] Add COL0 net
13:32:09: [INFO] Add COL1 net
13:32:09: [INFO] Add COL10 net
13:32:09: [INFO] Add COL11 net
13:32:09: [INFO] Add COL12 net
13:32:09: [INFO] Add COL13 net
13:32:09: [INFO] Add COL14 net
13:32:09: [INFO] Add COL15 net
13:32:09: [INFO] Add COL16 net
13:32:09: [INFO] Add COL17 net
13:32:09: [INFO] Add COL18 net
13:32:09: [INFO] Add COL2 net
13:32:09: [INFO] Add COL3 net
13:32:09: [INFO] Add COL4 net
13:32:09: [INFO] Add COL5 net
13:32:09: [INFO] Add COL6 net
13:32:09: [INFO] Add COL7 net
13:32:09: [INFO] Add COL8 net
13:32:09: [INFO] Add COL9 net
13:32:09: [INFO] Add Net-(D1-A) net
13:32:09: [INFO] Add Net-(D10-A) net
13:32:09: [INFO] Add Net-(D11-A) net
13:32:09: [INFO] Add Net-(D12-A) net
13:32:09: [INFO] Add Net-(D13-A) net
13:32:09: [INFO] Add Net-(D14-A) net
13:32:09: [INFO] Add Net-(D15-A) net
13:32:09: [INFO] Add Net-(D16-A) net
13:32:09: [INFO] Add Net-(D17-A) net
13:32:09: [INFO] Add Net-(D18-A) net
13:32:09: [INFO] Add Net-(D19-A) net
13:32:09: [INFO] Add Net-(D2-A) net
13:32:09: [INFO] Add Net-(D20-A) net
13:32:09: [INFO] Add Net-(D21-A) net
13:32:09: [INFO] Add Net-(D22-A) net
13:32:09: [INFO] Add Net-(D23-A) net
13:32:09: [INFO] Add Net-(D24-A) net
13:32:09: [INFO] Add Net-(D25-A) net
13:32:09: [INFO] Add Net-(D26-A) net
13:32:09: [INFO] Add Net-(D27-A) net
13:32:09: [INFO] Add Net-(D28-A) net
13:32:09: [INFO] Add Net-(D29-A) net
13:32:09: [INFO] Add Net-(D3-A) net
13:32:09: [INFO] Add Net-(D30-A) net
13:32:09: [INFO] Add Net-(D31-A) net
13:32:09: [INFO] Add Net-(D32-A) net
13:32:09: [INFO] Add Net-(D33-A) net
13:32:09: [INFO] Add Net-(D34-A) net
13:32:09: [INFO] Add Net-(D35-A) net
13:32:09: [INFO] Add Net-(D36-A) net
13:32:09: [INFO] Add Net-(D37-A) net
13:32:09: [INFO] Add Net-(D38-A) net
13:32:09: [INFO] Add Net-(D39-A) net
13:32:09: [INFO] Add Net-(D4-A) net
13:32:09: [INFO] Add Net-(D40-A) net
13:32:09: [INFO] Add Net-(D41-A) net
13:32:09: [INFO] Add Net-(D42-A) net
13:32:09: [INFO] Add Net-(D43-A) net
13:32:09: [INFO] Add Net-(D44-A) net
13:32:09: [INFO] Add Net-(D45-A) net
13:32:09: [INFO] Add Net-(D46-A) net
13:32:09: [INFO] Add Net-(D47-A) net
13:32:09: [INFO] Add Net-(D48-A) net
13:32:09: [INFO] Add Net-(D49-A) net
13:32:09: [INFO] Add Net-(D5-A) net
13:32:09: [INFO] Add Net-(D50-A) net
13:32:09: [INFO] Add Net-(D51-A) net
13:32:09: [INFO] Add Net-(D52-A) net
13:32:09: [INFO] Add Net-(D53-A) net
13:32:09: [INFO] Add Net-(D54-A) net
13:32:09: [INFO] Add Net-(D55-A) net
13:32:09: [INFO] Add Net-(D56-A) net
13:32:09: [INFO] Add Net-(D57-A) net
13:32:09: [INFO] Add Net-(D58-A) net
13:32:09: [INFO] Add Net-(D59-A) net
13:32:09: [INFO] Add Net-(D6-A) net
13:32:09: [INFO] Add Net-(D60-A) net
13:32:09: [INFO] Add Net-(D61-A) net
13:32:09: [INFO] Add Net-(D62-A) net
13:32:09: [INFO] Add Net-(D63-A) net
13:32:09: [INFO] Add Net-(D64-A) net
13:32:09: [INFO] Add Net-(D65-A) net
13:32:09: [INFO] Add Net-(D66-A) net
13:32:09: [INFO] Add Net-(D67-A) net
13:32:09: [INFO] Add Net-(D68-A) net
13:32:09: [INFO] Add Net-(D69-A) net
13:32:09: [INFO] Add Net-(D7-A) net
13:32:09: [INFO] Add Net-(D70-A) net
13:32:09: [INFO] Add Net-(D71-A) net
13:32:09: [INFO] Add Net-(D72-A) net
13:32:09: [INFO] Add Net-(D73-A) net
13:32:09: [INFO] Add Net-(D74-A) net
13:32:09: [INFO] Add Net-(D75-A) net
13:32:09: [INFO] Add Net-(D76-A) net
13:32:09: [INFO] Add Net-(D77-A) net
13:32:09: [INFO] Add Net-(D78-A) net
13:32:09: [INFO] Add Net-(D79-A) net
13:32:09: [INFO] Add Net-(D8-A) net
13:32:09: [INFO] Add Net-(D80-A) net
13:32:09: [INFO] Add Net-(D9-A) net
13:32:09: [INFO] Add ROW0 net
13:32:09: [INFO] Add ROW1 net
13:32:09: [INFO] Add ROW2 net
13:32:09: [INFO] Add ROW3 net
13:32:09: [INFO] Add ROW4 net
13:32:09: [INFO] Add SW1 footprint
13:32:10: [INFO] Add D1 footprint
13:32:10: [INFO] Add SW2 footprint
13:32:10: [INFO] Add D2 footprint
13:32:10: [INFO] Add SW3 footprint
13:32:10: [INFO] Add D3 footprint
13:32:10: [INFO] Add SW4 footprint
13:32:10: [INFO] Add D4 footprint
13:32:10: [INFO] Add SW5 footprint
13:32:10: [INFO] Add D5 footprint
13:32:10: [INFO] Add SW6 footprint
13:32:10: [INFO] Add D6 footprint
13:32:10: [INFO] Add SW7 footprint
13:32:10: [INFO] Add D7 footprint
13:32:10: [INFO] Add SW8 footprint
13:32:10: [INFO] Add D8 footprint
13:32:10: [INFO] Add SW9 footprint
13:32:10: [INFO] Add D9 footprint
13:32:10: [INFO] Add SW10 footprint
13:32:10: [INFO] Add D10 footprint
13:32:10: [INFO] Add SW11 footprint
13:32:10: [INFO] Add D11 footprint
13:32:10: [INFO] Add SW12 footprint
13:32:10: [INFO] Add D12 footprint
13:32:10: [INFO] Add SW13 footprint
13:32:10: [INFO] Add D13 footprint
13:32:10: [INFO] Add SW14 footprint
13:32:10: [INFO] Add D14 footprint
13:32:10: [INFO] Add SW15 footprint
13:32:10: [INFO] Add D15 footprint
13:32:10: [INFO] Add SW16 footprint
13:32:10: [INFO] Add D16 footprint
13:32:10: [INFO] Add ST16 footprint
13:32:10: [INFO] Add SW16a footprint
13:32:10: [INFO] Add SW17 footprint
13:32:10: [INFO] Add D17 footprint
13:32:10: [INFO] Add SW18 footprint
13:32:11: [INFO] Add D18 footprint
13:32:11: [INFO] Add SW19 footprint
13:32:11: [INFO] Add D19 footprint
13:32:11: [INFO] Add SW20 footprint
13:32:11: [INFO] Add D20 footprint
13:32:11: [INFO] Add SW21 footprint
13:32:11: [INFO] Add D21 footprint
13:32:11: [INFO] Add SW22 footprint
13:32:11: [INFO] Add D22 footprint
13:32:11: [INFO] Add SW23 footprint
13:32:11: [INFO] Add D23 footprint
13:32:11: [INFO] Add SW24 footprint
13:32:11: [INFO] Add D24 footprint
13:32:11: [INFO] Add SW25 footprint
13:32:11: [INFO] Add D25 footprint
13:32:11: [INFO] Add SW26 footprint
13:32:11: [INFO] Add D26 footprint
