=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:17:29: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoBMBWANHcBjW2BiAQxNPAF8twEMFwBdDAKDCnwEYBmJTbAT3wBaZAE40lbDXYpwVKZwbNWA+MKQJxVdrUUsI0eFyoq4asVTzxwBHLbsUtGdu1lwIlwgHZvP1+ADuHEiemtjaXLqsBnBcwby4+NakZFSBhqih4ChOKAA6AHYFBTR0VNlcRYX5Ja76+MjxaXAoGRJZOZXFTpF1hgAsGalBmZxOCox64ABO0Z5U0YJoPMb16vEe1j6+bVK1CVY2drYOkhgyE1FCS57a2BvEyUR+Teytji5Y7omHRyfg2uclL1TAA2CzfR5PIbpEJtcp7e5HY5ws49NiqMF3CGPZ7DNqjFwXCAzDgtdbfJF4HZOQlA9GIQb8IIaFHONFTUlUEnwbghLkmbijbALZB8pmqbjoakKOQYPp+GhoBUYEFokU8NraGVhOV+bRKxyqi7tbXteVlDAG7DZI106KvdDgg6Q3HwFD4y1+Uaqz70wQDRp4qijcZ0jmqaRc+1k-n4FpCv28+ImQQtR1Yg6Uv40TzKgAcypEyvYdCJiY1jlzjgLjiL71LdqEAwQKKr1owNfbdfbJbVTfUTsILo9bYgLziHu7Y6D2AJpfoQA
14:17:29: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
14:17:29: [INFO] Matrix size: 3x13
14:17:30: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:17:30: [INFO] Add COL0 net
14:17:30: [INFO] Add COL1 net
14:17:30: [INFO] Add COL10 net
14:17:30: [INFO] Add COL11 net
14:17:30: [INFO] Add COL12 net
14:17:30: [INFO] Add COL13 net
14:17:30: [INFO] Add COL2 net
14:17:30: [INFO] Add COL3 net
14:17:30: [INFO] Add COL4 net
14:17:30: [INFO] Add COL5 net
14:17:30: [INFO] Add COL6 net
14:17:30: [INFO] Add COL7 net
14:17:30: [INFO] Add COL8 net
14:17:30: [INFO] Add COL9 net
14:17:30: [INFO] Add Net-(D1-A) net
14:17:30: [INFO] Add Net-(D10-A) net
14:17:30: [INFO] Add Net-(D11-A) net
14:17:30: [INFO] Add Net-(D12-A) net
14:17:30: [INFO] Add Net-(D13-A) net
14:17:30: [INFO] Add Net-(D14-A) net
14:17:30: [INFO] Add Net-(D15-A) net
14:17:30: [INFO] Add Net-(D16-A) net
14:17:30: [INFO] Add Net-(D17-A) net
14:17:30: [INFO] Add Net-(D18-A) net
14:17:30: [INFO] Add Net-(D19-A) net
14:17:30: [INFO] Add Net-(D2-A) net
14:17:30: [INFO] Add Net-(D20-A) net
14:17:30: [INFO] Add Net-(D21-A) net
14:17:30: [INFO] Add Net-(D22-A) net
14:17:30: [INFO] Add Net-(D23-A) net
14:17:30: [INFO] Add Net-(D24-A) net
14:17:30: [INFO] Add Net-(D25-A) net
14:17:30: [INFO] Add Net-(D26-A) net
14:17:30: [INFO] Add Net-(D27-A) net
14:17:30: [INFO] Add Net-(D28-A) net
14:17:30: [INFO] Add Net-(D29-A) net
14:17:30: [INFO] Add Net-(D3-A) net
14:17:30: [INFO] Add Net-(D30-A) net
14:17:30: [INFO] Add Net-(D31-A) net
14:17:30: [INFO] Add Net-(D32-A) net
14:17:30: [INFO] Add Net-(D33-A) net
14:17:30: [INFO] Add Net-(D34-A) net
14:17:30: [INFO] Add Net-(D35-A) net
14:17:30: [INFO] Add Net-(D36-A) net
14:17:30: [INFO] Add Net-(D37-A) net
14:17:30: [INFO] Add Net-(D38-A) net
14:17:30: [INFO] Add Net-(D39-A) net
14:17:30: [INFO] Add Net-(D4-A) net
14:17:30: [INFO] Add Net-(D40-A) net
14:17:30: [INFO] Add Net-(D41-A) net
14:17:30: [INFO] Add Net-(D42-A) net
14:17:30: [INFO] Add Net-(D43-A) net
14:17:30: [INFO] Add Net-(D44-A) net
14:17:30: [INFO] Add Net-(D45-A) net
14:17:30: [INFO] Add Net-(D46-A) net
14:17:30: [INFO] Add Net-(D47-A) net
14:17:30: [INFO] Add Net-(D48-A) net
14:17:30: [INFO] Add Net-(D5-A) net
14:17:30: [INFO] Add Net-(D6-A) net
