=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:46: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwCYB0SCsAaO4Ces4AGNLHAYwPAGIBDO+8AX23EMwQGYAdAO197YJwLQQBZ+fHoPABdTACgweAsQwsK8agHYdupiMyFhcCBpxUylq-pzSDSY60wdHbUa8zoPANg9aPABweAJweCEYGCEKRDtimlLT0dI4A7gRIzLbs3JIChsbxmhZWljZOCF5x4GnwxFqk4AAWKij1meAc7A5yihDQ8AjeLPjwALSqDTVErQ3NtTPtol2yCkojcOMz6glJySxTCCjo7Qj5VWbUJaUn7I6nsTinLiyn7i+ed5i+7-7vQe+hd7hT5REEPCAHI43Tggrw9JQXRJJVIEQ5tFhIM4mcCIq4UdqY6I4TEPcCY57EzBvSmVSnfSm-Sn-SmAynAjHsImFcy6PT7dIkAnZAo4hJ4sqEuGrbnUXY0FHwVAYdqdCLY3FXMqdUmdCkdKmOTq0-X0-WM-XM-Ws-XsnCdUHnHa7BWIBYse0UmVUXk6LXsale8Uq9hS3qiopyl2HZUsJaECS8U5qiGowWxzBIBM8JMiyExnBLHISHOOori-nwbxpgtfLMl9VO5EV1358BLAJ1rEpgbVtuczvJqAtBqIn3+RbC9MIal9iorMPrCbbCPO5vR47p+O5bO3Kp5jc1zPb05c6qp1uFzunjUlF1Kg999BX3Pnh9LbzPvcC9E1rSfhsrk2OD7hOHbHru2IgVOCDPvC3Ytm+hiduCZ49heGbIS+aGIUWkj3CKN7WM294Tk+4EoVMqA-n2H7kVhCETn+dGluYkZrr27aYV+2ETlEmFwahrqIVuxbOI4SxHqJnqCYcOGdtJhGlM2WgTrRUkEY2DDsYhfHgS4MgyEAA
13:32:46: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:32:46: [INFO] Matrix size: 4x15
13:32:47: [WARNING] Requested width 0.75u not available for SW_Cherry_MX_PCB, using 1.0u fallback
13:32:47: [WARNING] Requested width 0.75u not available for SW_Cherry_MX_PCB, using 1.0u fallback
13:32:47: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:47: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:47: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:47: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:32:47: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:32:47: [INFO] Add COL0 net
13:32:47: [INFO] Add COL1 net
13:32:47: [INFO] Add COL10 net
13:32:47: [INFO] Add COL11 net
13:32:47: [INFO] Add COL12 net
13:32:47: [INFO] Add COL13 net
13:32:47: [INFO] Add COL14 net
13:32:47: [INFO] Add COL15 net
13:32:47: [INFO] Add COL2 net
13:32:47: [INFO] Add COL3 net
13:32:47: [INFO] Add COL4 net
13:32:47: [INFO] Add COL5 net
13:32:47: [INFO] Add COL6 net
13:32:47: [INFO] Add COL7 net
13:32:47: [INFO] Add COL8 net
13:32:47: [INFO] Add COL9 net
13:32:47: [INFO] Add Net-(D1-A) net
13:32:47: [INFO] Add Net-(D10-A) net
13:32:47: [INFO] Add Net-(D11-A) net
13:32:47: [INFO] Add Net-(D12-A) net
13:32:47: [INFO] Add Net-(D13-A) net
13:32:47: [INFO] Add Net-(D14-A) net
13:32:47: [INFO] Add Net-(D15-A) net
13:32:47: [INFO] Add Net-(D16-A) net
13:32:47: [INFO] Add Net-(D17-A) net
