=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:39: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreANAg7rOBGAOgFYBfLcABg0szgmniUhdfHIWvzqowCYe1AMyCMAFlHFRANlHJRADlEBOHvgyqsDPEjToKueETIUutALoYAUGHCGChZCYTraWqDsSs2HcOu4U6gKBGCIhEiFSIbIh8hRCGFEuGErujAgoenE4eHyEfM5+GPgW1rb2eQW+fDR02kxe3tDVxTw1wQg1YZ3ibYl9MT3Z9RlZ2XZ4RE4tqT2a9B4NAIYrq+wUNSXgljYjulk89kRV8bWn3eAJAQvpSKtrBpP5hQkde5l6h3hCvgkRN557isvkZnr8MIN3mMQQ4TggEuMErNLhoeFcLOYgA
13:34:39: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:34:39: [INFO] Matrix size: 3x10
13:34:39: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:34:39: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:34:39: [INFO] Add COL0 net
13:34:39: [INFO] Add COL1 net
13:34:39: [INFO] Add COL10 net
13:34:39: [INFO] Add COL2 net
13:34:39: [INFO] Add COL3 net
13:34:39: [INFO] Add COL4 net
13:34:39: [INFO] Add COL5 net
13:34:39: [INFO] Add COL6 net
13:34:39: [INFO] Add COL7 net
13:34:39: [INFO] Add COL8 net
13:34:39: [INFO] Add COL9 net
13:34:39: [INFO] Add Net-(D1-A) net
13:34:39: [INFO] Add Net-(D10-A) net
13:34:39: [INFO] Add Net-(D11-A) net
13:34:39: [INFO] Add Net-(D12-A) net
13:34:39: [INFO] Add Net-(D13-A) net
13:34:39: [INFO] Add Net-(D14-A) net
13:34:39: [INFO] Add Net-(D15-A) net
13:34:39: [INFO] Add Net-(D16-A) net
13:34:39: [INFO] Add Net-(D17-A) net
13:34:39: [INFO] Add Net-(D18-A) net
13:34:39: [INFO] Add Net-(D19-A) net
13:34:39: [INFO] Add Net-(D2-A) net
13:34:39: [INFO] Add Net-(D20-A) net
13:34:39: [INFO] Add Net-(D21-A) net
13:34:39: [INFO] Add Net-(D22-A) net
13:34:39: [INFO] Add Net-(D23-A) net
13:34:39: [INFO] Add Net-(D24-A) net
13:34:39: [INFO] Add Net-(D25-A) net
13:34:39: [INFO] Add Net-(D26-A) net
