=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:58: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgGwDoCsBfANHcAGDBGcLCaeAJiR023wPAF0MAoMKWOAZi3AE92BaHEgDs6bngAsROCXYBOauAkYpjFrPLc+8QSLHY8KaRrj5FeDsbbxhi5ZeLXTdjEbWtScFFoFCAHKLmGGRWnvpKwQzMrNpwughk3tgAxuzgAMQAhtk54EHCVqnwGcmlZXniGAih7BKoQTg15JSKtI2OnnXhytWORdhZOdkV2MoF7iZc2LG6otz9JWWlI+C0Uh3yit6q0SZkPjpCgdy0RhvwZicYDjJOttzeNyaX2N5uu05JvL5IAeG0IXOXi2kQm30OSASXwWgyGK1oBT6aXSS2WrSqTVMHBBvVuMKGwxB4w+nim4LiR2hyNRqUU+3Wt08Cm4CBUUXUTn20x+x2w+zOjPYL3A+yed0UrLFnmFrPeHLCBwpv15IsiQPCrJCYJmQih82RBMyK32iLx1NRxoxQPw2JZVrNxVhuQlGGJ8vYFC+Ovq3C4DOeQio3GEbLBACdOtww7E-Eh8HNsJ5dF6BHUECquJZw9KyUmhCmdGmVSGsx8w0KvhHatw86hFfwi+EuFqy+wOHhEz8C3EKEG+QQADoAO2Hw7wjTBtabg5Hs-H7I8Alo3Pg+e4AAsPYouPhR3O6OHal8p-WOD7+zg98O2guTMntxhL7Pr4-b+ShIkN1vfY+r0PaIQh6FpWOY1l29YoJCKqsk+e77BOJJdooIawbO8Fvkmy7vkgn7YJu5DIb+z5DvsgGtjo7ZgRC3b8GeiQuruxFcAh7rUYRjF7sxb6xGueHftgIYcbOO5vuWOj4Me4Erj257gCGWr0EAA
13:35:58: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:35:58: [INFO] Matrix size: 7x7
13:35:59: [INFO] Add COL0 net
13:35:59: [INFO] Add COL1 net
13:35:59: [INFO] Add COL2 net
13:35:59: [INFO] Add COL3 net
13:35:59: [INFO] Add COL4 net
13:35:59: [INFO] Add COL5 net
13:35:59: [INFO] Add COL6 net
13:35:59: [INFO] Add COL7 net
13:35:59: [INFO] Add Net-(D1-A) net
13:35:59: [INFO] Add Net-(D10-A) net
13:35:59: [INFO] Add Net-(D11-A) net
13:35:59: [INFO] Add Net-(D12-A) net
13:35:59: [INFO] Add Net-(D13-A) net
13:35:59: [INFO] Add Net-(D14-A) net
13:35:59: [INFO] Add Net-(D15-A) net
13:35:59: [INFO] Add Net-(D16-A) net
13:35:59: [INFO] Add Net-(D17-A) net
13:35:59: [INFO] Add Net-(D18-A) net
13:35:59: [INFO] Add Net-(D19-A) net
13:35:59: [INFO] Add Net-(D2-A) net
13:35:59: [INFO] Add Net-(D20-A) net
13:35:59: [INFO] Add Net-(D21-A) net
13:35:59: [INFO] Add Net-(D22-A) net
13:35:59: [INFO] Add Net-(D23-A) net
13:35:59: [INFO] Add Net-(D24-A) net
13:35:59: [INFO] Add Net-(D25-A) net
13:35:59: [INFO] Add Net-(D26-A) net
13:35:59: [INFO] Add Net-(D27-A) net
13:35:59: [INFO] Add Net-(D28-A) net
13:35:59: [INFO] Add Net-(D29-A) net
13:35:59: [INFO] Add Net-(D3-A) net
13:35:59: [INFO] Add Net-(D30-A) net
13:35:59: [INFO] Add Net-(D31-A) net
13:35:59: [INFO] Add Net-(D32-A) net
13:35:59: [INFO] Add Net-(D33-A) net
13:35:59: [INFO] Add Net-(D34-A) net
13:35:59: [INFO] Add Net-(D35-A) net
13:35:59: [INFO] Add Net-(D36-A) net
13:35:59: [INFO] Add Net-(D37-A) net
13:35:59: [INFO] Add Net-(D38-A) net
13:35:59: [INFO] Add Net-(D39-A) net
13:35:59: [INFO] Add Net-(D4-A) net
13:35:59: [INFO] Add Net-(D40-A) net
13:35:59: [INFO] Add Net-(D41-A) net
13:35:59: [INFO] Add Net-(D42-A) net
13:35:59: [INFO] Add Net-(D43-A) net
13:35:59: [INFO] Add Net-(D44-A) net
13:35:59: [INFO] Add Net-(D45-A) net
13:35:59: [INFO] Add Net-(D46-A) net
13:35:59: [INFO] Add Net-(D47-A) net
13:35:59: [INFO] Add Net-(D48-A) net
13:35:59: [INFO] Add Net-(D49-A) net
13:35:59: [INFO] Add Net-(D5-A) net
13:35:59: [INFO] Add Net-(D50-A) net
