=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:55: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgBwDoDsBWANHcBPWcAmAXy3AAYMBGM8AXQwCgwp9kDNs94BmVD8AMb5wAYhTiJ4EtgAsGBHUbNo8NmmnhMC+kwgAnFYiSVSernF7pShssf7mAtLfakh8UQEMv3qaRPalCBs7V2ERAQjI32wCeUVdcANWJG5+M3w0JH5ggE5ScwIkF2w3bDEJcWjNDBz45iT4ahTY7HT4bPwHQrQUfPxbflLRSKiNbgwUOv1DJu45bEMHSiy8zn6ssZqpxJnbVOtO3gA2PvgHbg0KNHBSCiObuCD8ZbJLqkptxd4TNfgZPlC7nKFSqmEmOnqzzShmQ4gOZ2QaBauE6hXQbxoEKeZxQSDIyMctisJTCIwiVQoH1uGAID3IGG4dIoMk+nURBPWxUEYW8Pg0JhoWGxFiKg1JZKqJhZWJYZ0yBF6vzgTj4-IZD2FLzV1xli1xCtOyqJ6j8VDpJlpQtlItepvuus6-wNSpVJpiGGlgWtDnZhpVxO5QN5XiqsUFj2thS5Q3CEo0sUZVpmePjGB1Xr1RUVKLOxsBZWDHlDZqtMbJQlTlojhl4tvd9ozjqzfoGm09CUWvpdeZJQeDVXG4eFUbFQPLA-VSeeKdI43THc6+uzhIBvYL-c2VIjZbjs5pGuttc2DYXZydy86rdIcnbyk68ovudV18n1endfAcnnd5xqEfRtXQN115OkAHdpzdT8S23cURiqOQq2FI8XxPH9lXPFssnzTwN1ITBb2FBwH0w9E8NfTUZ2wTBv0Io4-xI-hwMaDYyMQw88VIJi4GWdgNEwVD9E6ShoWSFBVmtXEZBOF00UgykBMjJAcmknMAIDHc4LeSgq3pShE2wSkWWpYTWR4IoflU5xIJMbTTMIcyGLVSgtwoj8bP04dRWwkRC0lKgFOTAgLJXdTYNGU1qAPGtKPAGyjOwGyaPYoLMMg2JbIdeAo2Cy9n3dZyovfVM9LsnicqfUj8qHdiP3S+LwHSpLopS7sWOwcZbKnMzozCCpKmKgL8GyhjvPHTcXOtLU9xKzLuIc1rKvADrquij8OvqjqmvwXgWtU10NDkDLGyy+a9uNA73kK5iP0OxlZrKxyX0irqbQuyh4ogGNfM4iC3q27ryoAyDMCO097N2kLgcul6pqoqg7uOuBbGUkbsC4nioeet8zIoNHfrI966FoIA
13:36:55: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:36:55: [INFO] Matrix size: 5x16
13:36:56: [INFO] Add COL0 net
13:36:56: [INFO] Add COL1 net
13:36:56: [INFO] Add COL10 net
13:36:56: [INFO] Add COL11 net
13:36:56: [INFO] Add COL12 net
13:36:56: [INFO] Add COL13 net
13:36:56: [INFO] Add COL14 net
13:36:56: [INFO] Add COL15 net
13:36:56: [INFO] Add COL16 net
13:36:56: [INFO] Add COL2 net
13:36:56: [INFO] Add COL3 net
13:36:56: [INFO] Add COL4 net
13:36:56: [INFO] Add COL5 net
13:36:56: [INFO] Add COL6 net
13:36:56: [INFO] Add COL7 net
13:36:56: [INFO] Add COL8 net
13:36:56: [INFO] Add COL9 net
13:36:56: [INFO] Add Net-(D1-A) net
13:36:56: [INFO] Add Net-(D10-A) net
13:36:56: [INFO] Add Net-(D11-A) net
13:36:56: [INFO] Add Net-(D12-A) net
13:36:56: [INFO] Add Net-(D13-A) net
13:36:56: [INFO] Add Net-(D14-A) net
13:36:56: [INFO] Add Net-(D15-A) net
13:36:56: [INFO] Add Net-(D16-A) net
13:36:56: [INFO] Add Net-(D17-A) net
13:36:56: [INFO] Add Net-(D18-A) net
13:36:56: [INFO] Add Net-(D19-A) net
13:36:56: [INFO] Add Net-(D2-A) net
13:36:56: [INFO] Add Net-(D20-A) net
13:36:56: [INFO] Add Net-(D21-A) net
13:36:56: [INFO] Add Net-(D22-A) net
13:36:56: [INFO] Add Net-(D23-A) net
13:36:56: [INFO] Add Net-(D24-A) net
13:36:56: [INFO] Add Net-(D25-A) net
13:36:56: [INFO] Add Net-(D26-A) net
13:36:56: [INFO] Add Net-(D27-A) net
13:36:56: [INFO] Add Net-(D28-A) net
13:36:56: [INFO] Add Net-(D29-A) net
13:36:56: [INFO] Add Net-(D3-A) net
13:36:56: [INFO] Add Net-(D30-A) net
13:36:56: [INFO] Add Net-(D31-A) net
13:36:56: [INFO] Add Net-(D32-A) net
13:36:56: [INFO] Add Net-(D33-A) net
13:36:56: [INFO] Add Net-(D34-A) net
13:36:56: [INFO] Add Net-(D35-A) net
13:36:56: [INFO] Add Net-(D36-A) net
13:36:56: [INFO] Add Net-(D37-A) net
13:36:56: [INFO] Add Net-(D38-A) net
13:36:56: [INFO] Add Net-(D39-A) net
13:36:56: [INFO] Add Net-(D4-A) net
13:36:56: [INFO] Add Net-(D40-A) net
13:36:56: [INFO] Add Net-(D41-A) net
13:36:56: [INFO] Add Net-(D42-A) net
13:36:56: [INFO] Add Net-(D43-A) net
13:36:56: [INFO] Add Net-(D44-A) net
13:36:56: [INFO] Add Net-(D45-A) net
13:36:56: [INFO] Add Net-(D46-A) net
13:36:56: [INFO] Add Net-(D47-A) net
13:36:56: [INFO] Add Net-(D48-A) net
13:36:56: [INFO] Add Net-(D49-A) net
13:36:56: [INFO] Add Net-(D5-A) net
13:36:56: [INFO] Add Net-(D50-A) net
13:36:56: [INFO] Add Net-(D51-A) net
13:36:56: [INFO] Add Net-(D52-A) net
13:36:56: [INFO] Add Net-(D53-A) net
13:36:56: [INFO] Add Net-(D54-A) net
13:36:56: [INFO] Add Net-(D55-A) net
13:36:56: [INFO] Add Net-(D56-A) net
13:36:56: [INFO] Add Net-(D57-A) net
13:36:56: [INFO] Add Net-(D58-A) net
13:36:56: [INFO] Add Net-(D59-A) net
13:36:56: [INFO] Add Net-(D6-A) net
13:36:56: [INFO] Add Net-(D60-A) net
13:36:56: [INFO] Add Net-(D61-A) net
13:36:56: [INFO] Add Net-(D62-A) net
13:36:56: [INFO] Add Net-(D63-A) net
13:36:56: [INFO] Add Net-(D64-A) net
13:36:56: [INFO] Add Net-(D65-A) net
13:36:56: [INFO] Add Net-(D66-A) net
13:36:56: [INFO] Add Net-(D67-A) net
13:36:56: [INFO] Add Net-(D68-A) net
13:36:56: [INFO] Add Net-(D69-A) net
13:36:56: [INFO] Add Net-(D7-A) net
