=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:11: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7uDhAB6xy4B0ATAKzYICMBReWjr4zHO4+1rUuSp0GXLAN74AzJ2aypWACyDwZeCPq9mKxbTlZ9igGyr1cRpQDstXtHhIrT55kVWD7xQA4DPgLpYAFDA4NQsxGrCNLYI9ggoaKiuCNLhCGE8KeycYZJwQhrRYql5oVgKWRVluvmRhaK8qTVlRlmtZaYR5pY2duSOzk7JZZ5Zo2U+jVj+QWB1FgCc1jHgAJ7kALSafQ4JicO2xgA6AHanp-iZ4AtYx2f3l+ABwRDr8FuUWghKaRBxSJBAUCDmlwD8rrYrj9SrZSj8qrYqj9mrZmj92rZ2j9OrV-nt0LwAO7kahiQ7nB6-eZUL5grDjWzjH6TBC2GYvcDE+CWWnGKl4oHAsRWUF8q4iq580oi0p8qoiqp85oi5p89oi9p8nF-fr4pJE8g84W3MxRXn0zgi8Z8lk63aDIa8AAWJONXgpp2YhC6UToO3iiSSbo9J24T1mEC5FmWYi8-N1gsBwxu3oQcauNyucdKN1KcaqNyqceaN2acfaN1adviDvGUeoRV4ce11M+-qQgeQwzj4xu4zjtvmlgaCBu7vunuyzzm9cbTHwqerAMTw0YXrkj20Ye0-DkzFKjBke-KG+Ux+ah8Mqjxnc4UZ6tMvLe6nzEl-Ga4tO+m191tc4LrwKSW7TCGYSLq2fqxLqt5vsw44Uhk4Yct0SjRLwbxwB8vTQfaDqrswpjTq8mzbLhAaBnehpzlw4GqPeNGMKkEEMSOtHZBEUbGIxuT0dRj5hEoIbMXx3KvtoYS0MJVLmNI4lMKkH5hIOL5sUxoETicSHEUOclQWspHLO2iD-m+YQ4lwqQWYwYTuDp3T4ORHaUWZyjSVc6lCZpqQeZJ7lPH4QA
13:38:11: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:38:11: [INFO] Matrix size: 13x8
13:38:12: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:38:12: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:38:12: [INFO] Add COL0 net
13:38:12: [INFO] Add COL1 net
13:38:12: [INFO] Add COL2 net
13:38:12: [INFO] Add COL3 net
13:38:12: [INFO] Add COL4 net
13:38:12: [INFO] Add COL5 net
13:38:12: [INFO] Add COL6 net
13:38:12: [INFO] Add COL7 net
13:38:12: [INFO] Add COL8 net
13:38:12: [INFO] Add Net-(D1-A) net
13:38:12: [INFO] Add Net-(D10-A) net
13:38:12: [INFO] Add Net-(D100-A) net
13:38:12: [INFO] Add Net-(D101-A) net
13:38:12: [INFO] Add Net-(D102-A) net
13:38:12: [INFO] Add Net-(D103-A) net
13:38:12: [INFO] Add Net-(D104-A) net
13:38:12: [INFO] Add Net-(D105-A) net
13:38:12: [INFO] Add Net-(D106-A) net
13:38:12: [INFO] Add Net-(D107-A) net
13:38:12: [INFO] Add Net-(D108-A) net
13:38:12: [INFO] Add Net-(D109-A) net
13:38:12: [INFO] Add Net-(D11-A) net
13:38:12: [INFO] Add Net-(D110-A) net
13:38:12: [INFO] Add Net-(D111-A) net
13:38:12: [INFO] Add Net-(D112-A) net
13:38:12: [INFO] Add Net-(D113-A) net
13:38:12: [INFO] Add Net-(D114-A) net
13:38:12: [INFO] Add Net-(D115-A) net
13:38:12: [INFO] Add Net-(D116-A) net
13:38:12: [INFO] Add Net-(D117-A) net
13:38:12: [INFO] Add Net-(D118-A) net
13:38:12: [INFO] Add Net-(D12-A) net
13:38:12: [INFO] Add Net-(D13-A) net
13:38:12: [INFO] Add Net-(D14-A) net
13:38:12: [INFO] Add Net-(D15-A) net
13:38:12: [INFO] Add Net-(D16-A) net
13:38:12: [INFO] Add Net-(D17-A) net
13:38:12: [INFO] Add Net-(D18-A) net
13:38:12: [INFO] Add Net-(D19-A) net
13:38:12: [INFO] Add Net-(D2-A) net
13:38:12: [INFO] Add Net-(D20-A) net
13:38:12: [INFO] Add Net-(D21-A) net
13:38:12: [INFO] Add Net-(D22-A) net
13:38:12: [INFO] Add Net-(D23-A) net
13:38:12: [INFO] Add Net-(D24-A) net
13:38:12: [INFO] Add Net-(D25-A) net
13:38:12: [INFO] Add Net-(D26-A) net
13:38:12: [INFO] Add Net-(D27-A) net
13:38:12: [INFO] Add Net-(D28-A) net
13:38:12: [INFO] Add Net-(D29-A) net
13:38:12: [INFO] Add Net-(D3-A) net
13:38:12: [INFO] Add Net-(D30-A) net
13:38:12: [INFO] Add Net-(D31-A) net
13:38:12: [INFO] Add Net-(D32-A) net
13:38:12: [INFO] Add Net-(D33-A) net
13:38:12: [INFO] Add Net-(D34-A) net
13:38:12: [INFO] Add Net-(D35-A) net
13:38:12: [INFO] Add Net-(D36-A) net
13:38:12: [INFO] Add Net-(D37-A) net
13:38:12: [INFO] Add Net-(D38-A) net
13:38:12: [INFO] Add Net-(D39-A) net
13:38:12: [INFO] Add Net-(D4-A) net
13:38:12: [INFO] Add Net-(D40-A) net
13:38:12: [INFO] Add Net-(D41-A) net
