=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:16: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhNPEgIaVWY7j4CMReWATExAB6xz0B0LAVlqkEKNKhrMALO3Bd4ffAhFJIa9ZLpYAbEy3I9+AByGsATlny4uXkOXcKVSpoaFaDRu6z02X+gGZLbhs7KAdEdQ1sZnoZPwFTel0-A2I5YP5QlUQnZ2itegsvFjdmFkYAXSwAKDBwAE8MwXz6Aj1WzwRW3y6sQLSrG2baVri4EnDItU1WhJGddqxU3pN5ot76UvAOzu3vHr2AxdjjuY3k8bCyHNy9AHduFhbvZAAdADsPj6FSziaBZ6FRYlYGVGp1bJTaD5FgEL6fd74Law3awg6w-zwj6w37peBDLLhXLke7cPgA2iwsYTa5QzSws7gWEXJlLPSw1YIWHrVmbdneVH7flHSneMa8xkoi400TE0kKWwwl5Y97aNoDf5KoGikE6sG1GWqKaafxwhEfJF6U27U0HU2Y83vHFBfGZYRE260B4K5AUhCm6lXUR0-Kmxmmlmm5bgU2cmPmK3eLbWm1C2jW-r+sWJ+hnQ1icTyuAsTKh5WOtWEKoGoNGyKaKRm+GtLaN3aNg6Nh3w024wZu+zXOVex6l2iNqQqxu4yHG-KNlmN6ONuONnlt1sCvRtzveTPgNvitt52s3JxFku++febQq5Dqy5WPjDBAdqvg-Mh2g-FUtvRCehfwfcAhBYFVe3-PpwIfP5XUEd0h09BBvR4RVvywSdHSMYChAEFVsNxFDyXyIRbywmDTzpEd4GQEik3wijsmHZCyTQhAAMw+ECMg3MGMI1i-RAm8+Jdawx3Y7weVArZQP1OorCkAcGn+ajUJfITOIRbDOggIjxKEvDyJ08A9PU0iGOM2d61U7R9IA3ALNkJikJM1izL3Ry0lMwSOM8y5vLo3ijNkAL0KSRzqzqRp4AAWhsX1aAAC0eJUHMdBhRNhBBkvgJ5RW7BEUXASLYJ4ZB9I6N5HQA44jBVGqSrxHhsMHURxAkVTn1CHLiy9NgFW6-qeFoDghri-TrSq+E1TkiBorgcaEtaxxzySlLxybBEOkytbcuvAqPmtYqPya+h7wQebxvg5aIjndNhIrbxjprJ9aEu+KfO8IDdlA6DZqaxTQnepTQtfDCpyejbDPhNtRLMXgltPZjXJ9QS2zI+F73bbw6sdLHnqi7hxsJWk7rBtLm1YTL9ugthGpQvKJIpraqa89aJIO95bWKiogA
13:38:16: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:38:16: [INFO] Matrix size: 5x21
13:38:17: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:38:17: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:38:17: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:38:17: [INFO] Add COL0 net
13:38:17: [INFO] Add COL1 net
13:38:17: [INFO] Add COL10 net
13:38:17: [INFO] Add COL11 net
13:38:17: [INFO] Add COL12 net
13:38:17: [INFO] Add COL13 net
13:38:17: [INFO] Add COL14 net
13:38:17: [INFO] Add COL15 net
13:38:17: [INFO] Add COL16 net
13:38:17: [INFO] Add COL17 net
13:38:17: [INFO] Add COL18 net
13:38:17: [INFO] Add COL19 net
13:38:17: [INFO] Add COL2 net
13:38:17: [INFO] Add COL20 net
13:38:17: [INFO] Add COL21 net
13:38:17: [INFO] Add COL3 net
13:38:17: [INFO] Add COL4 net
13:38:17: [INFO] Add COL5 net
13:38:17: [INFO] Add COL6 net
13:38:17: [INFO] Add COL7 net
13:38:17: [INFO] Add COL8 net
13:38:17: [INFO] Add COL9 net
13:38:17: [INFO] Add Net-(D1-A) net
13:38:17: [INFO] Add Net-(D10-A) net
13:38:17: [INFO] Add Net-(D100-A) net
13:38:17: [INFO] Add Net-(D101-A) net
13:38:17: [INFO] Add Net-(D102-A) net
13:38:17: [INFO] Add Net-(D103-A) net
13:38:17: [INFO] Add Net-(D104-A) net
13:38:17: [INFO] Add Net-(D105-A) net
13:38:17: [INFO] Add Net-(D106-A) net
13:38:17: [INFO] Add Net-(D107-A) net
13:38:17: [INFO] Add Net-(D108-A) net
13:38:17: [INFO] Add Net-(D109-A) net
13:38:17: [INFO] Add Net-(D11-A) net
13:38:17: [INFO] Add Net-(D110-A) net
13:38:17: [INFO] Add Net-(D111-A) net
13:38:17: [INFO] Add Net-(D112-A) net
13:38:17: [INFO] Add Net-(D113-A) net
13:38:17: [INFO] Add Net-(D114-A) net
13:38:17: [INFO] Add Net-(D12-A) net
13:38:17: [INFO] Add Net-(D13-A) net
13:38:17: [INFO] Add Net-(D14-A) net
13:38:17: [INFO] Add Net-(D15-A) net
13:38:17: [INFO] Add Net-(D16-A) net
13:38:17: [INFO] Add Net-(D17-A) net
13:38:17: [INFO] Add Net-(D18-A) net
13:38:17: [INFO] Add Net-(D19-A) net
13:38:17: [INFO] Add Net-(D2-A) net
13:38:17: [INFO] Add Net-(D20-A) net
13:38:17: [INFO] Add Net-(D21-A) net
13:38:17: [INFO] Add Net-(D22-A) net
13:38:17: [INFO] Add Net-(D23-A) net
13:38:17: [INFO] Add Net-(D24-A) net
13:38:17: [INFO] Add Net-(D25-A) net
13:38:17: [INFO] Add Net-(D26-A) net
13:38:17: [INFO] Add Net-(D27-A) net
13:38:17: [INFO] Add Net-(D28-A) net
13:38:17: [INFO] Add Net-(D29-A) net
13:38:17: [INFO] Add Net-(D3-A) net
13:38:17: [INFO] Add Net-(D30-A) net
13:38:17: [INFO] Add Net-(D31-A) net
13:38:17: [INFO] Add Net-(D32-A) net
13:38:17: [INFO] Add Net-(D33-A) net
13:38:17: [INFO] Add Net-(D34-A) net
13:38:17: [INFO] Add Net-(D35-A) net
