=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:04: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYC+AaO4FoQZgDoB2RRADDuBljgCwnGHkLgC6aAUGFLHLlQJ49SAOgCsVAMY9wAYgDsCxeHSZypSnAjR42TFPiyJR48qpMN4cgCYL5XLbQ0NWoWMnSZAQ28-TqtKIOSA5yDgAcztzwIuJ6HsYmKpZoAJwOCOpmOMxZCDYYLtHCVrHg+phePt5+yXjpTlRI2awcXNq8Aq6l5YYJUknYmZjYOcNo+WP2VNgNY4HTaMELoQsRC2kLGRYjo9R5kT2VVRYA7jxWAzgEDGRoQ4VwIiVJTfuNVxavTmycD3yYZx0YiSVjuB3ifRqoN2oIm4FBU0woNm8ICFlBSyRaBWWLWWI2WK2VGhMJwEwggMQwOJV3oREGkXaT26Hiq1SScjJFk5dSoPNmDwQxRZBnkigUpx4QpKVAAFucqCcbEDSrLlYgqJB1QBaZlJPh4OmEEYtX5RDpxUVszySoFyUT6sEFMoQhI1A0WPhwviI8B8FF8eaYPiYv3Yz1oPFhglhonB5rOw7iiWK87Cx2Gm7Gp2ac24NyWip9fpUA1WI0mn5cQ7W21U55UGh3I3Q8Gi4s1JsIFsUZ1M4T29xWtl1qzpxvNrOg+4u9uQpJNuFN31NlFNoPgJuhps4zeRixNmNdoZ7hCjCA1kep+Bj+0LslGvgz9rSh00hAC82v69Uu8TvKPr2mBdtc9AelWfw-q+STiKQRpNjOlLQVQ4jdlmCGREh46YOI5boTmF6uiYP5INh4DiKI8EEbOFS1lBZHiGEVGIVKDGpMxmGsQ2OE4HB+EsUC3HkbS-GMq4QmoQGtAHtJEF5p0RSlFhb48Xx9BdhYqFUee4DKTB4zaW2RaQj+cj6ZR+E6Zexz0SpwlMZZmnsY5zp6ShvGGXJ7T-LprF2bBVHkuAAAmPAAC4AE4AK4AKZJIFnEqvpeHqeMRm9G6pnmQliasleAJ+fpDmpUFoXwJFsXxfhQVuTxGQJSwLBAA
13:39:04: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:39:04: [INFO] Matrix size: 7x14
13:39:05: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:05: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:05: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:39:05: [INFO] Add COL0 net
13:39:05: [INFO] Add COL1 net
13:39:05: [INFO] Add COL10 net
13:39:05: [INFO] Add COL11 net
13:39:05: [INFO] Add COL12 net
13:39:05: [INFO] Add COL13 net
13:39:05: [INFO] Add COL14 net
13:39:05: [INFO] Add COL2 net
13:39:05: [INFO] Add COL3 net
13:39:05: [INFO] Add COL4 net
13:39:05: [INFO] Add COL5 net
13:39:05: [INFO] Add COL6 net
13:39:05: [INFO] Add COL7 net
13:39:05: [INFO] Add COL8 net
13:39:05: [INFO] Add COL9 net
13:39:05: [INFO] Add Net-(D1-A) net
13:39:05: [INFO] Add Net-(D10-A) net
13:39:05: [INFO] Add Net-(D11-A) net
13:39:05: [INFO] Add Net-(D12-A) net
13:39:05: [INFO] Add Net-(D13-A) net
13:39:05: [INFO] Add Net-(D14-A) net
13:39:05: [INFO] Add Net-(D15-A) net
13:39:05: [INFO] Add Net-(D16-A) net
13:39:05: [INFO] Add Net-(D17-A) net
13:39:05: [INFO] Add Net-(D18-A) net
13:39:05: [INFO] Add Net-(D19-A) net
13:39:05: [INFO] Add Net-(D2-A) net
13:39:05: [INFO] Add Net-(D20-A) net
13:39:05: [INFO] Add Net-(D21-A) net
13:39:05: [INFO] Add Net-(D22-A) net
13:39:05: [INFO] Add Net-(D23-A) net
13:39:05: [INFO] Add Net-(D24-A) net
13:39:05: [INFO] Add Net-(D25-A) net
13:39:05: [INFO] Add Net-(D26-A) net
13:39:05: [INFO] Add Net-(D27-A) net
13:39:05: [INFO] Add Net-(D28-A) net
13:39:05: [INFO] Add Net-(D29-A) net
13:39:05: [INFO] Add Net-(D3-A) net
