=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIB2I48AXw3AAY1LwMId5w8BDN9uzAd1wEZVymar04NczLJKlkK1BJypoAzAuoAWVWhSaAbJoKaAHJoCcm3rVlpeIq73n1s41uzYKe8fikGLeSgDoAdkFB1JZwENCeSAjomIz4xCQUHnD8sRQAFrgIKfLRceCZ+WkUkCUAtJQx3nYBwQ3ColB8SNTxzq5uKa21Qtb1IYFy4AC6aABQYC3wyH3gvDTNqfwE84u2EU5MeFLSPosOmIsqFIsaZ1oKi3qXBpfGl2aXFtfWm2I7SUTuOTUHAyGoSWjiicGqGQ6Oz2khkx2sCCBw2szTBXgB9iRI0cCWY33u3FasQxg0aaHk4ymn3wXRYv2ixIouV4SI2zVxuxhcPAuURDSCbNBuAhhQ5tO5uXCEFSyEZmGZrJBWw5MJwPlyp3laAuWu0TLQty1BJ5aEeWueWte+psCmZR2pzHFPWia3VAzGk2mYLmPiUNCRkuWRPmfpZ-MCgYofr5Q0jWxW-yjygDSodnL29LgBF9aAIKal2xpXUz6RD1ko+YUoZjDTj0uDOb8lcpXr+hQAnsKBEmK+HmUGCo2Ux9wAm5eBo8OB2lu5g-aSgv2cc5VZmEDmUFPHDLE3Pc1vlZ1i86Z2WTAf6wyyxYL6OG0nMX2Udveo2FxGUaNRkA
13:39:20: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:39:20: [INFO] Matrix size: 3x13
13:39:20: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:20: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:20: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:20: [INFO] Add COL0 net
13:39:20: [INFO] Add COL1 net
13:39:20: [INFO] Add COL10 net
13:39:20: [INFO] Add COL11 net
13:39:20: [INFO] Add COL12 net
13:39:20: [INFO] Add COL13 net
13:39:20: [INFO] Add COL2 net
13:39:20: [INFO] Add COL3 net
13:39:20: [INFO] Add COL4 net
13:39:20: [INFO] Add COL5 net
13:39:20: [INFO] Add COL6 net
13:39:20: [INFO] Add COL7 net
13:39:20: [INFO] Add COL8 net
13:39:20: [INFO] Add COL9 net
13:39:20: [INFO] Add Net-(D1-A) net
13:39:20: [INFO] Add Net-(D10-A) net
13:39:20: [INFO] Add Net-(D11-A) net
13:39:20: [INFO] Add Net-(D12-A) net
13:39:20: [INFO] Add Net-(D13-A) net
13:39:20: [INFO] Add Net-(D14-A) net
13:39:20: [INFO] Add Net-(D15-A) net
13:39:20: [INFO] Add Net-(D16-A) net
13:39:20: [INFO] Add Net-(D17-A) net
13:39:20: [INFO] Add Net-(D18-A) net
13:39:20: [INFO] Add Net-(D19-A) net
13:39:20: [INFO] Add Net-(D2-A) net
13:39:20: [INFO] Add Net-(D20-A) net
13:39:20: [INFO] Add Net-(D21-A) net
13:39:20: [INFO] Add Net-(D22-A) net
13:39:20: [INFO] Add Net-(D23-A) net
13:39:20: [INFO] Add Net-(D24-A) net
13:39:20: [INFO] Add Net-(D25-A) net
13:39:20: [INFO] Add Net-(D26-A) net
13:39:20: [INFO] Add Net-(D27-A) net
13:39:20: [INFO] Add Net-(D28-A) net
13:39:20: [INFO] Add Net-(D29-A) net
13:39:20: [INFO] Add Net-(D3-A) net
13:39:20: [INFO] Add Net-(D30-A) net
13:39:20: [INFO] Add Net-(D31-A) net
13:39:20: [INFO] Add Net-(D32-A) net
13:39:20: [INFO] Add Net-(D33-A) net
13:39:20: [INFO] Add Net-(D34-A) net
13:39:20: [INFO] Add Net-(D35-A) net
13:39:20: [INFO] Add Net-(D36-A) net
13:39:20: [INFO] Add Net-(D37-A) net
13:39:20: [INFO] Add Net-(D38-A) net
13:39:20: [INFO] Add Net-(D39-A) net
13:39:20: [INFO] Add Net-(D4-A) net
13:39:20: [INFO] Add Net-(D40-A) net
13:39:20: [INFO] Add Net-(D41-A) net
13:39:20: [INFO] Add Net-(D42-A) net
13:39:20: [INFO] Add Net-(D43-A) net
13:39:20: [INFO] Add Net-(D44-A) net
13:39:20: [INFO] Add Net-(D45-A) net
13:39:20: [INFO] Add Net-(D46-A) net
13:39:20: [INFO] Add Net-(D47-A) net
13:39:20: [INFO] Add Net-(D48-A) net
13:39:20: [INFO] Add Net-(D49-A) net
13:39:20: [INFO] Add Net-(D5-A) net
13:39:20: [INFO] Add Net-(D50-A) net
13:39:20: [INFO] Add Net-(D51-A) net
13:39:20: [INFO] Add Net-(D52-A) net
13:39:20: [INFO] Add Net-(D6-A) net
13:39:20: [INFO] Add Net-(D7-A) net
13:39:20: [INFO] Add Net-(D8-A) net
13:39:20: [INFO] Add Net-(D9-A) net
13:39:20: [INFO] Add ROW0 net
13:39:20: [INFO] Add ROW1 net
13:39:20: [INFO] Add ROW2 net
13:39:20: [INFO] Add ROW3 net
13:39:20: [INFO] Add SW1 footprint
13:39:20: [INFO] Add D1 footprint
13:39:20: [INFO] Add SW2 footprint
13:39:20: [INFO] Add D2 footprint
13:39:20: [INFO] Add SW3 footprint
