=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:27:52: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwHYB0CCsAaO4DGscBiAQ1LPAF9twAGTBAZgB0A7V1uhcagJnubaDO4ALqYAUGCgEMaLDgCeBGij4588cIVw7dlapy5jJEaPBVJ54JfAC0KgJxWNRJG-f6cdGtzinlKEjULlq6elRe9L60mDy+-vAICIERMQhx2BAhJGSk0QDuBDypnALsLN6iElJmiFY2cPYoNM4EoWH4qQj0RtUJcCr1BE1OXZg+mdLmga2aObkFMijoY1yT2R2d1N0ZflOIyTwr2-S74N2M8Xht8+TUhYnLqQAs9D7GNQFHwTebnuB8CZ7WoqAAcPzmuTy9yWllSfDWew2HX+fF2-QQKgAbPCetEEejrnN3B4YfAeKpjjhXkkqiYiUQ-qkGOMriCUOD1DcocRFuTKcyoutfijBYTapjmlTwCzadRZYTsjy+XAKUdBYxyqwWUCMXIyYgBfL+FqWLKrsiwv8aTxTeaPnrOQytMqDclpTS2TJnlK3U9qDSGHSpAAnGR0HC1H1Ohq2LHNCGM0UGTBBlPPaJ0dCZzBY6KvPMO-boFAMaXdNM4boZk7Zk6FvrFlA43ip-GYGs4Ph1ru54P9eMtQWVmUd6Isnujhv02rx7pcyFQlXul6xC0iq0Ghir56m7rvRu1VBYg3FAMdvdCpHcper9CX3r0sN2THUCUqZ5DOwUk8LpNWkpMCQHNQRzBwc0xft9klIcTmAk5QJOcCTkgot31UXF4N7RDe2Q3tUMPAgHBmQUsNHHDRzw0cCJnIjKS3VdQVNQF10XBY-Q9TBwLQuj1XPJBmKvLINz0U9GMEowRCAA
13:27:52: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:27:52: [INFO] Matrix size: 4x13
13:27:52: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:27:52: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:27:52: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:27:52: [INFO] Add COL0 net
13:27:52: [INFO] Add COL1 net
13:27:52: [INFO] Add COL10 net
13:27:52: [INFO] Add COL11 net
13:27:52: [INFO] Add COL12 net
13:27:52: [INFO] Add COL13 net
13:27:52: [INFO] Add COL2 net
13:27:52: [INFO] Add COL3 net
13:27:52: [INFO] Add COL4 net
13:27:52: [INFO] Add COL5 net
13:27:52: [INFO] Add COL6 net
13:27:52: [INFO] Add COL7 net
13:27:52: [INFO] Add COL8 net
13:27:52: [INFO] Add COL9 net
13:27:52: [INFO] Add Net-(D1-A) net
13:27:52: [INFO] Add Net-(D10-A) net
13:27:52: [INFO] Add Net-(D11-A) net
13:27:52: [INFO] Add Net-(D12-A) net
13:27:52: [INFO] Add Net-(D13-A) net
13:27:52: [INFO] Add Net-(D14-A) net
13:27:52: [INFO] Add Net-(D15-A) net
13:27:52: [INFO] Add Net-(D16-A) net
13:27:52: [INFO] Add Net-(D17-A) net
13:27:52: [INFO] Add Net-(D18-A) net
13:27:52: [INFO] Add Net-(D19-A) net
13:27:52: [INFO] Add Net-(D2-A) net
13:27:52: [INFO] Add Net-(D20-A) net
13:27:52: [INFO] Add Net-(D21-A) net
13:27:52: [INFO] Add Net-(D22-A) net
13:27:52: [INFO] Add Net-(D23-A) net
13:27:52: [INFO] Add Net-(D24-A) net
13:27:52: [INFO] Add Net-(D25-A) net
13:27:52: [INFO] Add Net-(D26-A) net
13:27:52: [INFO] Add Net-(D27-A) net
13:27:52: [INFO] Add Net-(D28-A) net
13:27:52: [INFO] Add Net-(D29-A) net
13:27:52: [INFO] Add Net-(D3-A) net
13:27:52: [INFO] Add Net-(D30-A) net
13:27:52: [INFO] Add Net-(D31-A) net
13:27:52: [INFO] Add Net-(D32-A) net
13:27:52: [INFO] Add Net-(D33-A) net
13:27:52: [INFO] Add Net-(D34-A) net
13:27:52: [INFO] Add Net-(D35-A) net
13:27:52: [INFO] Add Net-(D36-A) net
13:27:52: [INFO] Add Net-(D37-A) net
13:27:52: [INFO] Add Net-(D38-A) net
13:27:52: [INFO] Add Net-(D39-A) net
13:27:52: [INFO] Add Net-(D4-A) net
13:27:52: [INFO] Add Net-(D40-A) net
13:27:52: [INFO] Add Net-(D41-A) net
13:27:52: [INFO] Add Net-(D42-A) net
13:27:52: [INFO] Add Net-(D43-A) net
13:27:52: [INFO] Add Net-(D44-A) net
13:27:52: [INFO] Add Net-(D45-A) net
13:27:52: [INFO] Add Net-(D46-A) net
13:27:52: [INFO] Add Net-(D47-A) net
13:27:52: [INFO] Add Net-(D48-A) net
13:27:52: [INFO] Add Net-(D49-A) net
13:27:52: [INFO] Add Net-(D5-A) net
13:27:52: [INFO] Add Net-(D50-A) net
13:27:52: [INFO] Add Net-(D51-A) net
13:27:52: [INFO] Add Net-(D52-A) net
13:27:52: [INFO] Add Net-(D53-A) net
13:27:52: [INFO] Add Net-(D54-A) net
13:27:52: [INFO] Add Net-(D55-A) net
13:27:52: [INFO] Add Net-(D56-A) net
13:27:52: [INFO] Add Net-(D57-A) net
13:27:52: [INFO] Add Net-(D58-A) net
13:27:52: [INFO] Add Net-(D59-A) net
13:27:52: [INFO] Add Net-(D6-A) net
13:27:52: [INFO] Add Net-(D60-A) net
13:27:52: [INFO] Add Net-(D61-A) net
13:27:52: [INFO] Add Net-(D62-A) net
13:27:52: [INFO] Add Net-(D63-A) net
13:27:52: [INFO] Add Net-(D64-A) net
13:27:52: [INFO] Add Net-(D65-A) net
13:27:52: [INFO] Add Net-(D66-A) net
13:27:52: [INFO] Add Net-(D67-A) net
13:27:52: [INFO] Add Net-(D68-A) net
13:27:52: [INFO] Add Net-(D7-A) net
13:27:52: [INFO] Add Net-(D8-A) net
13:27:52: [INFO] Add Net-(D9-A) net
