=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:32: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGcFtwLgATgE4HsAuB9ApgYwIz7gC+ANEgAykUA6AdvYw80-dheORDPEieeCpEBVAEydKpAMwTBpACwSIAD14UAdKICsZSVtlUAbAdIB2EwA4TAThP4OAraWOOzsp1de3X92adLCSP7iAv4yoQrgALqkAFDA4PgBskkhSEnh6ZECSfox8Sq8WppOSACevAC0Gqal4Li84ADEpq1t-FkuCBANiM24A4MdiW45pJ5Z3lm+AobOsnPms+MLpFPgczNIFskCO2ngO5k9jU0AhheXwzvyrHRUDkGkWncPSuCqiBp1AO68orpwP4Xix7sl8glRLtuvVToMhoCoQcoZlwFDFFxYX1zpcLsMofpMZ8EBptAI-oh8OodAIoV0Ttj4QN8aMkFCJmi1rIoVsgfMIksnhz-Ot-LzrNDwBKDhLjh81CUBL0kC02q1ZBSEFSyUgABb-cniSnUgS6o1agTKc3VEqAiW3UFJR6FY1UJDK-pMjW8Kk09JUKR3JJECEMlW4vGAqTQsOe+HDaMHaOo6MYmEenG4hPPd7E0m-H3qWpR-npuFekuC8DRjnR9bR3k7LqHVktjk7dY7Xn2SU9g49wOO6i5wt1DNq9Xk-62gT2oPguJgLHhiPDeQx5dxhECdcHdeo9dp2OZq6A9eEmF5xVITWiGdIdeGO5Q52bppMhpnlY7rk-8WlqVWwlDkJXWCVuyoNNEioC9AJBJho1fDMIzOb1jWLPZnjuRDokXcAnECY8P2GJwDicOVxwnEjsjLbEUOoi8XRJe8NklOYDjmVE5iPN8JyrTVDEBOZGLfejAR7ZseyrHsOR7dYe18UN5UQYodXACovmvcBNW1P1wEfZ8NwzYiv1MQzCOUrUNDdUTVynRA7ww7YsNBBtoiiIA
13:28:32: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:28:32: [INFO] Matrix size: 10x10
13:28:33: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:33: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:28:33: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:33: [INFO] Add COL0 net
13:28:33: [INFO] Add COL1 net
13:28:33: [INFO] Add COL10 net
13:28:33: [INFO] Add COL2 net
13:28:33: [INFO] Add COL3 net
13:28:33: [INFO] Add COL4 net
13:28:33: [INFO] Add COL5 net
13:28:33: [INFO] Add COL6 net
13:28:33: [INFO] Add COL7 net
13:28:33: [INFO] Add COL8 net
13:28:33: [INFO] Add COL9 net
13:28:33: [INFO] Add Net-(D1-A) net
13:28:33: [INFO] Add Net-(D10-A) net
13:28:33: [INFO] Add Net-(D100-A) net
13:28:33: [INFO] Add Net-(D101-A) net
13:28:33: [INFO] Add Net-(D102-A) net
13:28:33: [INFO] Add Net-(D103-A) net
13:28:33: [INFO] Add Net-(D104-A) net
13:28:33: [INFO] Add Net-(D105-A) net
13:28:33: [INFO] Add Net-(D106-A) net
13:28:33: [INFO] Add Net-(D107-A) net
13:28:33: [INFO] Add Net-(D108-A) net
13:28:33: [INFO] Add Net-(D109-A) net
13:28:33: [INFO] Add Net-(D11-A) net
13:28:33: [INFO] Add Net-(D110-A) net
13:28:33: [INFO] Add Net-(D111-A) net
13:28:33: [INFO] Add Net-(D12-A) net
13:28:33: [INFO] Add Net-(D13-A) net
13:28:33: [INFO] Add Net-(D14-A) net
13:28:33: [INFO] Add Net-(D15-A) net
13:28:33: [INFO] Add Net-(D16-A) net
13:28:33: [INFO] Add Net-(D17-A) net
13:28:33: [INFO] Add Net-(D18-A) net
