=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:38: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIB2I48AXw3AAY1LwKBGGuuCaeSpBFcza+5iDnjg8WMeLIM0-CtQTNwjebLQBmBY3UqALBrS6VKPUZUA2PeZUEB2XCICGjpwoDuuBDypoAHAB0AdgEB1LQYgnaExESSmIzeNmxwHOiYQvjiEp6MBEGB-nwK1H55wdLgALpoAFBgUO6oFGkiUdGeCEwUqh0sdeycKbbCeE7OFG7w9KhtZWGD6Rk4nl0ymO3KmF3r4O1aG2oK7QZ7R9toJnvnp5Z716fWs+Nwk9wU7cW5jKE9TZFRMeBdeKzRKTLhjXCggYAC3cY3kEwamCh8KeFEgKIAtBwuJ5tD5cgFGPxKjVWPUXpg8V9wOgvmS+mDUhERo5XBCkAQKeA8StwkMFosKOgVty0Ft0Fs8bsafsKHiTugTnjLuhLnjbuhrnz8C17phHsgcXL8SV-J8FOggT1EtiBj8Bf88TlTUSKtVaj8WfY2QijZhTNICf52iKCIHTSGErhbY0Irr-gHqWG6b0kv1Y0MvT7EP1PAH6EH2in7QsE2KFGGtgHpWHpQGTmGTgHLmHLgHbmGtXMHCzs5NOXm0Hrtc0WmWreAw-ESbVEsgud5uuAAJzdelpxnd4a98G+hfh3JdFOPSGeVcF01Hmwn3MURcIINX2YljLZ0y3zCL7SPtdbrO7p4P3ARdTB-Y92T9Fc0FAy9fxtREt3jTxFz1YCfAUVdp3dddtA5AYAE9o3TJlMx3fV2X3C9DxmTBzx-XlwBvfcH1ghiXwkACCGQ-R6JsT0yMYiiz2g3jynKIA
13:29:38: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:29:38: [INFO] Matrix size: 9x8
13:29:39: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:39: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:39: [INFO] Add COL0 net
13:29:39: [INFO] Add COL1 net
13:29:39: [INFO] Add COL2 net
13:29:39: [INFO] Add COL3 net
13:29:39: [INFO] Add COL4 net
13:29:39: [INFO] Add COL5 net
13:29:39: [INFO] Add COL6 net
13:29:39: [INFO] Add COL7 net
13:29:39: [INFO] Add COL8 net
13:29:39: [INFO] Add Net-(D1-A) net
13:29:39: [INFO] Add Net-(D10-A) net
13:29:39: [INFO] Add Net-(D11-A) net
13:29:39: [INFO] Add Net-(D12-A) net
13:29:39: [INFO] Add Net-(D13-A) net
13:29:39: [INFO] Add Net-(D14-A) net
13:29:39: [INFO] Add Net-(D15-A) net
13:29:39: [INFO] Add Net-(D16-A) net
13:29:39: [INFO] Add Net-(D17-A) net
13:29:39: [INFO] Add Net-(D18-A) net
13:29:39: [INFO] Add Net-(D19-A) net
13:29:39: [INFO] Add Net-(D2-A) net
13:29:39: [INFO] Add Net-(D20-A) net
13:29:39: [INFO] Add Net-(D21-A) net
13:29:39: [INFO] Add Net-(D22-A) net
13:29:39: [INFO] Add Net-(D23-A) net
13:29:39: [INFO] Add Net-(D24-A) net
13:29:39: [INFO] Add Net-(D25-A) net
13:29:39: [INFO] Add Net-(D26-A) net
13:29:39: [INFO] Add Net-(D27-A) net
13:29:39: [INFO] Add Net-(D28-A) net
13:29:39: [INFO] Add Net-(D29-A) net
13:29:39: [INFO] Add Net-(D3-A) net
13:29:39: [INFO] Add Net-(D30-A) net
13:29:39: [INFO] Add Net-(D31-A) net
13:29:39: [INFO] Add Net-(D32-A) net
13:29:39: [INFO] Add Net-(D33-A) net
13:29:39: [INFO] Add Net-(D34-A) net
13:29:39: [INFO] Add Net-(D35-A) net
13:29:39: [INFO] Add Net-(D36-A) net
13:29:39: [INFO] Add Net-(D37-A) net
13:29:39: [INFO] Add Net-(D38-A) net
13:29:39: [INFO] Add Net-(D39-A) net
13:29:39: [INFO] Add Net-(D4-A) net
13:29:39: [INFO] Add Net-(D40-A) net
13:29:39: [INFO] Add Net-(D41-A) net
13:29:39: [INFO] Add Net-(D42-A) net
13:29:39: [INFO] Add Net-(D43-A) net
13:29:39: [INFO] Add Net-(D44-A) net
13:29:39: [INFO] Add Net-(D45-A) net
13:29:39: [INFO] Add Net-(D46-A) net
13:29:39: [INFO] Add Net-(D47-A) net
13:29:39: [INFO] Add Net-(D48-A) net
13:29:39: [INFO] Add Net-(D49-A) net
13:29:39: [INFO] Add Net-(D5-A) net
13:29:39: [INFO] Add Net-(D50-A) net
13:29:39: [INFO] Add Net-(D51-A) net
13:29:39: [INFO] Add Net-(D52-A) net
13:29:39: [INFO] Add Net-(D53-A) net
13:29:39: [INFO] Add Net-(D54-A) net
13:29:39: [INFO] Add Net-(D55-A) net
13:29:39: [INFO] Add Net-(D56-A) net
13:29:39: [INFO] Add Net-(D57-A) net
13:29:39: [INFO] Add Net-(D58-A) net
13:29:39: [INFO] Add Net-(D59-A) net
13:29:39: [INFO] Add Net-(D6-A) net
13:29:39: [INFO] Add Net-(D60-A) net
13:29:39: [INFO] Add Net-(D61-A) net
13:29:39: [INFO] Add Net-(D62-A) net
13:29:39: [INFO] Add Net-(D63-A) net
13:29:39: [INFO] Add Net-(D64-A) net
13:29:39: [INFO] Add Net-(D65-A) net
13:29:39: [INFO] Add Net-(D66-A) net
13:29:39: [INFO] Add Net-(D67-A) net
13:29:39: [INFO] Add Net-(D68-A) net
13:29:39: [INFO] Add Net-(D69-A) net
13:29:39: [INFO] Add Net-(D7-A) net
13:29:39: [INFO] Add Net-(D70-A) net
13:29:39: [INFO] Add Net-(D71-A) net
13:29:39: [INFO] Add Net-(D72-A) net
13:29:39: [INFO] Add Net-(D73-A) net
13:29:39: [INFO] Add Net-(D74-A) net
13:29:39: [INFO] Add Net-(D75-A) net
13:29:39: [INFO] Add Net-(D76-A) net
13:29:39: [INFO] Add Net-(D77-A) net
13:29:39: [INFO] Add Net-(D78-A) net
13:29:39: [INFO] Add Net-(D79-A) net
13:29:39: [INFO] Add Net-(D8-A) net
13:29:39: [INFO] Add Net-(D80-A) net
13:29:39: [INFO] Add Net-(D9-A) net
13:29:39: [INFO] Add ROW0 net
13:29:39: [INFO] Add ROW1 net
13:29:39: [INFO] Add ROW2 net
13:29:39: [INFO] Add ROW3 net
13:29:39: [INFO] Add ROW4 net
13:29:39: [INFO] Add ROW5 net
13:29:39: [INFO] Add ROW6 net
13:29:39: [INFO] Add ROW7 net
13:29:39: [INFO] Add ROW8 net
13:29:39: [INFO] Add ROW9 net
13:29:39: [INFO] Add SW1 footprint
13:29:39: [INFO] Add D1 footprint
13:29:39: [INFO] Add SW2 footprint
13:29:39: [INFO] Add D2 footprint
13:29:40: [INFO] Add SW3 footprint
13:29:40: [INFO] Add D3 footprint
13:29:40: [INFO] Add SW4 footprint
13:29:40: [INFO] Add D4 footprint
13:29:40: [INFO] Add SW5 footprint
13:29:40: [INFO] Add D5 footprint
13:29:40: [INFO] Add SW6 footprint
13:29:40: [INFO] Add D6 footprint
