=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:48: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareANAg7rOAmAXy3AAYNSAdAOxpvNMzgl3iJPPztuoaYgAeeUgDoArCVYFiCcgBZu9Cv3BT2sjADZFvZVhZ51ZDAA4dffasMzjARio8ljS2pvlbXR7ufMrbNxi2Cl4Wvq4cgdohemHWEbZm0T4G-hH4DtyhKdJpnpkxgsLiknEa+MH5yX45ZVGVKkLwomIBGTzuTHbmgZ2c3ba9GADM-Q1FLREV7T0RYqMRddMDEQDs8xqJ+csaAJzrdm1K23a2++55S4O2I9HH7lNHV3O3V4uP8Wsv8ZuX8XtfZUOujuGHwpwBxnwF3eZRuWzGTXEAXKZ1Bz3haTewMG+E+8IAuhgAFBgapGWwUbpVcIICnQ7wIuDNEqpWkYB4MlylcAUrFZMk2Ck-JwqGk8wJA-liikeKmi7kyjlShWROVc1nihJq2IaumSgoCkh0+n8xpM4o4FUopLy3WgvkGs3NQWUiEy-Z0j3DdaFRETNlKmZs9G-NkO44UvGh8XC7FGjD-DFs+xe2zgpOak1BzVw6OK1MhmGa8OdGVRosy2MdeO2RN50H6iOg9P1qFe-C5mG+83+8XWjN0wtxtn4Evx3GjQkkiDQeBISALxfgGz4GLgVfHVf4TqroaM5kIWcIFBoVCdMWrwNVI-zxcL5ckVeaHcYFYvkwvnYv+zfzeBbePoEe6AUE35iN+z4gW+IEfiBX6AekL5gioN4nqe57cluWZVE6FpQHgt53g+CBbnISHgQhkEkaC0G+GaYgiOQh4EWh6Aruy+yrkO1Z0XgtiaIx7FthCW6dtiU6kgAnuMJCoXe942EMa5KccSkAQgSnAbxfqySxp5niycC2EiJBKWRlhyfJxHgEpVE2a+nRKbBGkJo5EpuWmHnqfZ1weeZLm2BRAV2SptE+c5PnwS5iGmc2blQihen6Rh8DGb2alad2B74XOiDydAimgv59n4EFJUhTR4ASeAchrrVxy1d5tWZeAuESMxuX6cg1m1f52RpTYtVBf1JkILVtEzix+U9aYnS1VFNXuSQ9UNf+c1AetoHLYEZX1XZ9VhfVEX1VFk2dclhkDdtMU6kZo2LQl10tW1um5dNg1FetpVfftlXVRIPjgBIxwSN5EjPTJHXHl1KV3b2EgchS1J8fdEhYkjtpwzYEjltQGMWVNVnYwmOj4wgwNAmTQOBC2NBU8D9L00BpNrsDiOsztLOA8D6Mc7YuNM1qXiC3WdMGqhMOXajDZc5jV3k82svqljJCg2JZNZXhllEcT5SdKDZWg3ZoMTa1kM5dDF2Wql0vs9sI3w1oLP29UxmlcTAtBmdx7varJPC9mFPO-rNPB37soByDzORyHQRhwrgXx9T-FJ8DntR0L3AyrHot417FtIJL1t3SsjvpPHDu67Tecu1I8vUx2wcSd7hFLjYmhrh3xwd95HcQzpUOF8l7ccQHgMd0OGuu-dHe88jNu9h3sZT9rbckB3udU13lOd6HY+dF3jO79cSsIF37Pj5z+-r6q19n4EnuX5nPAr0l6FS4vgSbwadcz4rd-gB7kfS+jc76a3agXPKRMb56xgWVHudke6mxeoPViZ4R52wPhgSe+df6f15rXFG7sb7L3zqvBSN9v7dwlEnLu1ds43wjlnbMXd1YsMCJgxhODqEpxjow9OWDn5ixdhLK209S4j1rBXaen8wS0NBEfahoDmEDGbpA32CAVhri0ccLR3ktH9x7K9S26EbBaIvp0LRODAZaLnpY18p9K4kC0aQmxNCwEyLMXvZh88VaaP-KfcAOiLHK3rjo6xct7o6Lsc4wIrjIm9h0d-Nx5cAF6PodohRgS9FsJwubchBVYmwP8d9Ipdk9HIPyW-NisTOH+O4fYghCSvECNCVE0w0ipArC8SfPh-ihE12abEqRfSnElJ3ro-+Kj7HCWmUUthqj8RAA
13:39:48: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:39:48: [INFO] Matrix size: 7x27
13:39:51: [INFO] Add COL0 net
13:39:51: [INFO] Add COL1 net
13:39:51: [INFO] Add COL10 net
13:39:51: [INFO] Add COL11 net
13:39:51: [INFO] Add COL12 net
13:39:51: [INFO] Add COL13 net
13:39:51: [INFO] Add COL14 net
13:39:51: [INFO] Add COL15 net
13:39:51: [INFO] Add COL16 net
13:39:51: [INFO] Add COL17 net
13:39:51: [INFO] Add COL18 net
13:39:51: [INFO] Add COL19 net
13:39:51: [INFO] Add COL2 net
13:39:51: [INFO] Add COL20 net
13:39:51: [INFO] Add COL21 net
13:39:51: [INFO] Add COL22 net
13:39:51: [INFO] Add COL23 net
13:39:51: [INFO] Add COL24 net
13:39:51: [INFO] Add COL25 net
13:39:51: [INFO] Add COL26 net
13:39:51: [INFO] Add COL27 net
13:39:51: [INFO] Add COL3 net
13:39:51: [INFO] Add COL4 net
13:39:51: [INFO] Add COL5 net
13:39:51: [INFO] Add COL6 net
13:39:51: [INFO] Add COL7 net
13:39:51: [INFO] Add COL8 net
13:39:51: [INFO] Add COL9 net
13:39:51: [INFO] Add Net-(D1-A) net
13:39:51: [INFO] Add Net-(D10-A) net
13:39:51: [INFO] Add Net-(D100-A) net
13:39:51: [INFO] Add Net-(D101-A) net
13:39:51: [INFO] Add Net-(D102-A) net
13:39:51: [INFO] Add Net-(D103-A) net
13:39:51: [INFO] Add Net-(D104-A) net
13:39:51: [INFO] Add Net-(D105-A) net
13:39:51: [INFO] Add Net-(D106-A) net
13:39:51: [INFO] Add Net-(D107-A) net
13:39:51: [INFO] Add Net-(D108-A) net
13:39:51: [INFO] Add Net-(D109-A) net
13:39:51: [INFO] Add Net-(D11-A) net
13:39:51: [INFO] Add Net-(D110-A) net
13:39:51: [INFO] Add Net-(D111-A) net
13:39:51: [INFO] Add Net-(D112-A) net
13:39:51: [INFO] Add Net-(D113-A) net
13:39:51: [INFO] Add Net-(D114-A) net
13:39:51: [INFO] Add Net-(D115-A) net
13:39:51: [INFO] Add Net-(D116-A) net
13:39:51: [INFO] Add Net-(D117-A) net
13:39:51: [INFO] Add Net-(D118-A) net
13:39:51: [INFO] Add Net-(D119-A) net
13:39:51: [INFO] Add Net-(D12-A) net
13:39:51: [INFO] Add Net-(D120-A) net
13:39:51: [INFO] Add Net-(D121-A) net
13:39:51: [INFO] Add Net-(D122-A) net
13:39:51: [INFO] Add Net-(D123-A) net
13:39:51: [INFO] Add Net-(D124-A) net
13:39:51: [INFO] Add Net-(D125-A) net
13:39:51: [INFO] Add Net-(D126-A) net
13:39:51: [INFO] Add Net-(D127-A) net
13:39:51: [INFO] Add Net-(D128-A) net
13:39:51: [INFO] Add Net-(D129-A) net
13:39:51: [INFO] Add Net-(D13-A) net
13:39:51: [INFO] Add Net-(D130-A) net
13:39:51: [INFO] Add Net-(D131-A) net
13:39:51: [INFO] Add Net-(D132-A) net
13:39:51: [INFO] Add Net-(D133-A) net
13:39:51: [INFO] Add Net-(D134-A) net
13:39:51: [INFO] Add Net-(D135-A) net
13:39:51: [INFO] Add Net-(D136-A) net
13:39:51: [INFO] Add Net-(D137-A) net
13:39:51: [INFO] Add Net-(D138-A) net
13:39:51: [INFO] Add Net-(D139-A) net
13:39:51: [INFO] Add Net-(D14-A) net
13:39:51: [INFO] Add Net-(D140-A) net
13:39:51: [INFO] Add Net-(D141-A) net
13:39:51: [INFO] Add Net-(D142-A) net
13:39:51: [INFO] Add Net-(D143-A) net
13:39:51: [INFO] Add Net-(D144-A) net
13:39:51: [INFO] Add Net-(D145-A) net
13:39:51: [INFO] Add Net-(D146-A) net
13:39:51: [INFO] Add Net-(D147-A) net
